,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84
accuracy,0.8097014925373134,0.7313432835820896,0.7611940298507462,0.75,0.7611940298507462,0.7985074626865671,0.7910447761194029,0.8022388059701493,0.7947761194029851,0.7798507462686567,0.7798507462686567,0.7873134328358209,0.7798507462686567,0.7835820895522388,0.7985074626865671,0.7947761194029851,0.7985074626865671,0.7985074626865671,0.7910447761194029,0.7947761194029851,0.7947761194029851,0.7873134328358209,0.7873134328358209,0.8022388059701493,0.8022388059701493,0.8097014925373134,0.8097014925373134,0.8097014925373134,0.8134328358208955,0.8097014925373134,0.8171641791044776,0.8171641791044776,0.8208955223880597,0.8171641791044776,0.8171641791044776,0.8134328358208955,0.8134328358208955,0.8097014925373134,0.8097014925373134,0.8059701492537313,0.8097014925373134,0.8097014925373134,0.8134328358208955,0.8059701492537313,0.8097014925373134,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.8022388059701493,0.8022388059701493,0.8059701492537313,0.8097014925373134,0.8059701492537313,0.8097014925373134,0.8097014925373134,0.8134328358208955,0.8059701492537313,0.8059701492537313,0.8022388059701493,0.8022388059701493,0.8022388059701493,0.8059701492537313,0.8022388059701493,0.8022388059701493,0.8022388059701493,0.8022388059701493,0.8022388059701493,0.8022388059701493,0.8059701492537313,0.8022388059701493,0.8059701492537313,0.8022388059701493,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.8059701492537313,0.8134328358208955,0.8097014925373134,0.8134328358208955,0.8097014925373134,0.8097014925373134
f1,0.7118644067796609,0.64,0.5897435897435898,0.6214689265536723,0.6049382716049383,0.7,0.6626506024096386,0.6936416184971097,0.6783625730994152,0.6666666666666667,0.6589595375722545,0.6742857142857143,0.6589595375722545,0.6704545454545454,0.6785714285714286,0.6927374301675977,0.6823529411764707,0.686046511627907,0.6705882352941177,0.6820809248554913,0.6820809248554913,0.6742857142857143,0.6742857142857143,0.7039106145251397,0.7005649717514123,0.7150837988826816,0.7150837988826816,0.7150837988826816,0.7191011235955056,0.7150837988826816,0.7167630057803468,0.72,0.7241379310344827,0.72,0.7167630057803468,0.7159090909090908,0.7126436781609196,0.7150837988826816,0.7118644067796609,0.7078651685393257,0.7118644067796609,0.7118644067796609,0.7159090909090908,0.7078651685393257,0.7118644067796609,0.7078651685393257,0.7078651685393257,0.7078651685393257,0.7005649717514123,0.7005649717514123,0.7045454545454546,0.7118644067796609,0.7045454545454546,0.7118644067796609,0.7118644067796609,0.7191011235955056,0.7045454545454546,0.7078651685393257,0.7005649717514123,0.7005649717514123,0.7005649717514123,0.7078651685393257,0.7005649717514123,0.7039106145251397,0.7005649717514123,0.7005649717514123,0.7005649717514123,0.7005649717514123,0.7045454545454546,0.7005649717514123,0.7045454545454546,0.7005649717514123,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7045454545454546,0.7191011235955056,0.7118644067796609,0.7191011235955056,0.7118644067796609,0.7118644067796609
statistical_parity_difference,-0.623319467052511,-0.7150177850123591,-0.4876107795261349,-0.49406161451739317,-0.5009947549285585,-0.5734611442696087,-0.4937601736299511,-0.5497678905166696,-0.5776210285163079,-0.623319467052511,-0.6143968167842286,-0.6350153734852595,-0.6143968167842286,-0.6130101887019955,-0.5951648881654308,-0.6439380237535419,-0.5834689817326822,-0.5879303068668233,-0.5834689817326822,-0.5659251220835595,-0.5659251220835595,-0.5542292156508108,-0.5542292156508108,-0.5954663290528728,-0.5910050039187316,-0.6116235606197624,-0.6116235606197624,-0.6116235606197624,-0.6174715138361366,-0.6116235606197624,-0.646711279918008,-0.6511726050521494,-0.6570205582685236,-0.6511726050521494,-0.646711279918008,-0.6614818834026648,-0.6408633267016337,-0.6439380237535419,-0.6394766986194007,-0.6336287454030265,-0.6394766986194007,-0.6394766986194007,-0.645324651835775,-0.6336287454030265,-0.6394766986194007,-0.6336287454030265,-0.6336287454030265,-0.6336287454030265,-0.6394766986194007,-0.6394766986194007,-0.6291674202688853,-0.623319467052511,-0.6291674202688853,-0.623319467052511,-0.623319467052511,-0.6336287454030265,-0.6291674202688853,-0.6174715138361366,-0.623319467052511,-0.623319467052511,-0.623319467052511,-0.6174715138361366,-0.623319467052511,-0.6277807921866523,-0.623319467052511,-0.623319467052511,-0.623319467052511,-0.623319467052511,-0.6291674202688853,-0.6394766986194007,-0.6291674202688853,-0.6394766986194007,-0.6291674202688853,-0.6291674202688853,-0.6291674202688853,-0.6291674202688853,-0.6291674202688853,-0.6291674202688853,-0.6291674202688853,-0.6291674202688853,-0.6291674202688853,-0.6174715138361366,-0.623319467052511,-0.6174715138361366,-0.623319467052511,-0.623319467052511
equal_opportunity_difference,-0.6815126050420168,-0.826890756302521,-0.6134453781512605,-0.6109243697478991,-0.6126050420168067,-0.5504201680672269,-0.47983193277310926,-0.507563025210084,-0.6100840336134453,-0.6243697478991597,-0.5957983193277311,-0.6243697478991597,-0.5957983193277311,-0.580672268907563,-0.6394957983193277,-0.6235294117647059,-0.6100840336134453,-0.6243697478991597,-0.6394957983193277,-0.580672268907563,-0.580672268907563,-0.580672268907563,-0.580672268907563,-0.6378151260504201,-0.6235294117647059,-0.6521008403361345,-0.6521008403361345,-0.6521008403361345,-0.6521008403361345,-0.6521008403361345,-0.7109243697478992,-0.7252100840336134,-0.7252100840336134,-0.7252100840336134,-0.7109243697478992,-0.7252100840336134,-0.7109243697478992,-0.6957983193277311,-0.6815126050420168,-0.6815126050420168,-0.6815126050420168,-0.6815126050420168,-0.6815126050420168,-0.6815126050420168,-0.6815126050420168,-0.6815126050420168,-0.6815126050420168,-0.6815126050420168,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.6815126050420168,-0.7109243697478992,-0.6815126050420168,-0.6815126050420168,-0.6957983193277311,-0.7109243697478992,-0.6815126050420168,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.6815126050420168,-0.7109243697478992,-0.6815126050420168,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.7109243697478992,-0.6521008403361345,-0.6815126050420168,-0.6521008403361345,-0.6815126050420168,-0.6815126050420168
average_abs_odds_difference,0.45943702704114897,0.67351566741863,0.37349749307671165,0.37277767554710445,0.3842965734550105,0.4051100569992798,0.3252092889061545,0.3761118721616789,0.42737237636335956,0.5049396725437945,0.4979532283310729,0.5122389426167872,0.4979532283310729,0.4867405680844925,0.4493775287892935,0.508169139513064,0.43102201139985596,0.43451523350621674,0.44207825871630074,0.40901685897392204,0.40901685897392204,0.40171758890092935,0.40171758890092935,0.4302890174723579,0.42679579536599715,0.44108150965171145,0.44108150965171145,0.44108150965171145,0.4447311446882078,0.44108150965171145,0.4850918145035792,0.48858503660994,0.4922346716464363,0.48858503660994,0.4850918145035792,0.5071035551284585,0.4814421794670829,0.48509840270252463,0.48160518059616386,0.4779555455596675,0.48160518059616386,0.48160518059616386,0.4852548156326602,0.4779555455596675,0.48160518059616386,0.4779555455596675,0.4779555455596675,0.4779555455596675,0.4926614279126087,0.4926614279126087,0.47414290939409015,0.45943702704114897,0.47414290939409015,0.45943702704114897,0.45943702704114897,0.4665798841840061,0.47414290939409015,0.4557873920046526,0.4704932743575938,0.4704932743575938,0.4704932743575938,0.4557873920046526,0.4704932743575938,0.47430591052317117,0.4704932743575938,0.4704932743575938,0.4704932743575938,0.4704932743575938,0.47414290939409015,0.4926614279126087,0.47414290939409015,0.4926614279126087,0.47414290939409015,0.47414290939409015,0.47414290939409015,0.47414290939409015,0.47414290939409015,0.47414290939409015,0.47414290939409015,0.47414290939409015,0.47414290939409015,0.4447311446882078,0.45943702704114897,0.4447311446882078,0.45943702704114897,0.45943702704114897
disparate_impact,-2.661898306215078,-2.1031870864100823,-3.360160587441794,-1.837415123594046,-2.7264368273526496,-2.145137946929273,-2.3400199142151794,-2.341904928910951,-2.7153869911660644,-2.661898306215078,-2.9183278351627546,-2.949580378666859,-2.9183278351627546,-2.6463941196791128,-3.275002779101487,-2.6922036557104074,-2.869537670993323,-2.731916293117275,-2.869537670993323,-2.4640725628851583,-2.4640725628851583,-2.263401867423007,-2.263401867423007,-2.3279403885605783,-2.407502211396764,-2.4387547549008683,-2.4387547549008683,-2.4387547549008683,-2.5441152705586947,-2.4387547549008683,-3.3550454867750235,-3.147169407591602,-3.370312958905812,-3.147169407591602,-3.3550454867750235,-3.1622072849561427,-3.1319019354608137,-2.6922036557104074,-2.810697170970389,-2.677165778345867,-2.810697170970389,-2.810697170970389,-2.9648478507976477,-2.677165778345867,-2.810697170970389,-2.677165778345867,-2.677165778345867,-2.677165778345867,-2.810697170970389,-2.810697170970389,-2.795429698839601,-2.661898306215078,-2.795429698839601,-2.661898306215078,-2.661898306215078,-2.677165778345867,-2.795429698839601,-2.5441152705586947,-2.661898306215078,-2.661898306215078,-2.661898306215078,-2.5441152705586947,-2.661898306215078,-2.559382742689483,-2.661898306215078,-2.661898306215078,-2.661898306215078,-2.661898306215078,-2.795429698839601,-2.810697170970389,-2.795429698839601,-2.810697170970389,-2.795429698839601,-2.795429698839601,-2.795429698839601,-2.795429698839601,-2.795429698839601,-2.795429698839601,-2.795429698839601,-2.795429698839601,-2.795429698839601,-2.5441152705586947,-2.661898306215078,-2.5441152705586947,-2.661898306215078,-2.661898306215078
theil_index,0.1814202723343706,0.20092619394085384,0.2542167495244664,0.22821501870128674,0.244510721386681,0.18543900172952618,0.21339030215821347,0.1934963778038643,0.20258073860412382,0.2048176455178287,0.21134566142343372,0.20219096565792602,0.21134566142343372,0.20351884791981695,0.2042030205381668,0.18992856119256185,0.20112660588748354,0.19802826940523213,0.2071539726749613,0.19944613901038744,0.19944613901038744,0.20219096565792605,0.20219096565792605,0.18412816637616064,0.18726961563023511,0.17832777155975943,0.17832777155975943,0.17832777155975943,0.1769639690713101,0.17832777155975943,0.18159685539081805,0.17859446589418324,0.17713620928922047,0.17859446589418324,0.18159685539081805,0.18002233332456455,0.18306054416580123,0.1783277715597594,0.1814202723343706,0.18278873529450293,0.1814202723343706,0.1814202723343706,0.18002233332456455,0.18278873529450293,0.1814202723343706,0.18278873529450293,0.18278873529450293,0.18278873529450293,0.18726961563023511,0.18726961563023511,0.18589646197337764,0.1814202723343706,0.18589646197337764,0.1814202723343706,0.1814202723343706,0.17696396907131012,0.18589646197337764,0.18278873529450296,0.18726961563023514,0.18726961563023514,0.18726961563023514,0.18278873529450296,0.18726961563023514,0.1841281663761606,0.18726961563023514,0.18726961563023514,0.18726961563023514,0.18726961563023514,0.18589646197337764,0.18726961563023514,0.18589646197337764,0.18726961563023514,0.18589646197337764,0.18589646197337764,0.18589646197337764,0.18589646197337764,0.18589646197337764,0.18589646197337764,0.18589646197337764,0.18589646197337764,0.18589646197337764,0.17696396907131012,0.1814202723343706,0.17696396907131012,0.1814202723343706,0.1814202723343706
