,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149
accuracy,0.8014981273408239,0.7940074906367042,0.7490636704119851,0.7827715355805244,0.7640449438202247,0.8052434456928839,0.8127340823970037,0.7715355805243446,0.797752808988764,0.8052434456928839,0.8052434456928839,0.8014981273408239,0.7865168539325843,0.8239700374531835,0.7790262172284644,0.7790262172284644,0.8014981273408239,0.797752808988764,0.7902621722846442,0.7865168539325843,0.8164794007490637,0.8089887640449438,0.7902621722846442,0.8127340823970037,0.8164794007490637,0.8014981273408239,0.7940074906367042,0.8014981273408239,0.8014981273408239,0.8014981273408239,0.8014981273408239,0.8014981273408239,0.8089887640449438,0.8089887640449438,0.8014981273408239,0.8089887640449438,0.797752808988764,0.8202247191011236,0.8164794007490637,0.8089887640449438,0.8202247191011236,0.8052434456928839,0.8202247191011236,0.797752808988764,0.8127340823970037,0.8127340823970037,0.8127340823970037,0.8052434456928839,0.8014981273408239,0.8052434456928839,0.8089887640449438,0.8164794007490637,0.8164794007490637,0.8052434456928839,0.8014981273408239,0.8127340823970037,0.7940074906367042,0.8089887640449438,0.797752808988764,0.7790262172284644,0.7940074906367042,0.7865168539325843,0.8014981273408239,0.8089887640449438,0.7902621722846442,0.797752808988764,0.8089887640449438,0.8127340823970037,0.7940074906367042,0.8164794007490637,0.8052434456928839,0.8202247191011236,0.7940074906367042,0.8089887640449438,0.797752808988764,0.8127340823970037,0.8089887640449438,0.8089887640449438,0.7940074906367042,0.8164794007490637,0.8089887640449438,0.8052434456928839,0.8127340823970037,0.8089887640449438,0.7940074906367042,0.8052434456928839,0.8202247191011236,0.8164794007490637,0.8089887640449438,0.8014981273408239,0.7940074906367042,0.8052434456928839,0.797752808988764,0.8052434456928839,0.8014981273408239,0.8089887640449438,0.8052434456928839,0.797752808988764,0.8014981273408239,0.8052434456928839,0.8127340823970037,0.8089887640449438,0.8164794007490637,0.8014981273408239,0.8014981273408239,0.8089887640449438,0.8202247191011236,0.8014981273408239,0.8127340823970037,0.8052434456928839,0.8089887640449438,0.8089887640449438,0.8127340823970037,0.8014981273408239,0.797752808988764,0.8014981273408239,0.8089887640449438,0.8052434456928839,0.8202247191011236,0.8089887640449438,0.8052434456928839,0.8089887640449438,0.8089887640449438,0.8089887640449438,0.8089887640449438,0.8202247191011236,0.8164794007490637,0.8014981273408239,0.8127340823970037,0.8052434456928839,0.8127340823970037,0.8089887640449438,0.8052434456928839,0.8089887640449438,0.8089887640449438,0.8052434456928839,0.8089887640449438,0.8014981273408239,0.8089887640449438,0.8014981273408239,0.8014981273408239,0.8089887640449438,0.8127340823970037,0.8164794007490637,0.797752808988764,0.8164794007490637,0.8127340823970037,0.8014981273408239,0.8089887640449438,0.8127340823970037,0.8014981273408239
f1,0.7225130890052356,0.7465437788018434,0.6298342541436464,0.7238095238095238,0.6701570680628273,0.74,0.7448979591836734,0.7136150234741785,0.7216494845360825,0.7291666666666666,0.7373737373737373,0.7389162561576356,0.7015706806282722,0.7684729064039408,0.6974358974358975,0.7005076142131978,0.7225130890052356,0.73,0.7083333333333333,0.7164179104477613,0.7407407407407408,0.746268656716418,0.7052631578947369,0.7448979591836734,0.7434554973821988,0.7336683417085427,0.717948717948718,0.7309644670050761,0.7389162561576356,0.7309644670050761,0.7253886010362695,0.7282051282051282,0.7357512953367876,0.7437185929648242,0.7282051282051282,0.7357512953367876,0.71875,0.7551020408163265,0.751269035532995,0.746268656716418,0.7623762376237625,0.7373737373737373,0.7551020408163265,0.73,0.7524752475247524,0.7448979591836734,0.7422680412371134,0.7373737373737373,0.7336683417085427,0.7425742574257426,0.7411167512690354,0.751269035532995,0.7487179487179486,0.7373737373737373,0.7282051282051282,0.7474747474747475,0.7208121827411167,0.7384615384615384,0.7216494845360825,0.7005076142131978,0.7150259067357513,0.7106598984771574,0.7225130890052356,0.7384615384615384,0.7083333333333333,0.7216494845360825,0.746268656716418,0.7474747474747475,0.7150259067357513,0.7537688442211055,0.7346938775510203,0.7575757575757577,0.717948717948718,0.7437185929648242,0.71875,0.7474747474747475,0.7357512953367876,0.7384615384615384,0.7120418848167539,0.751269035532995,0.7384615384615384,0.7319587628865979,0.7474747474747475,0.7384615384615384,0.7208121827411167,0.7319587628865979,0.7551020408163265,0.751269035532995,0.7437185929648242,0.7309644670050761,0.7208121827411167,0.74,0.7157894736842104,0.7319587628865979,0.7225130890052356,0.7437185929648242,0.7319587628865979,0.7244897959183675,0.7282051282051282,0.7346938775510203,0.7448979591836734,0.7384615384615384,0.7487179487179486,0.7282051282051282,0.7282051282051282,0.7411167512690354,0.7551020408163265,0.7309644670050761,0.7422680412371134,0.7291666666666666,0.7411167512690354,0.7384615384615384,0.7474747474747475,0.7253886010362695,0.7216494845360825,0.7253886010362695,0.7411167512690354,0.7346938775510203,0.7551020408163265,0.7437185929648242,0.7319587628865979,0.7357512953367876,0.7437185929648242,0.7384615384615384,0.7411167512690354,0.7575757575757577,0.7487179487179486,0.7282051282051282,0.7448979591836734,0.7373737373737373,0.7448979591836734,0.7384615384615384,0.7346938775510203,0.7411167512690354,0.7411167512690354,0.7346938775510203,0.7411167512690354,0.7282051282051282,0.7384615384615384,0.7336683417085427,0.7253886010362695,0.7384615384615384,0.7474747474747475,0.751269035532995,0.7216494845360825,0.7537688442211055,0.7448979591836734,0.7282051282051282,0.7357512953367876,0.7448979591836734,0.7225130890052356
statistical_parity_difference,-0.6384349278301324,-0.5455087677442443,-0.49164976738637717,-0.6354527018966958,-0.6065847548610283,-0.6319933198139092,-0.6560897053560778,-0.6333054992246213,-0.636287725158058,-0.6164857449600382,-0.6440415125849934,-0.6298461171418347,-0.5747345818919242,-0.6776213765954909,-0.6302636287725158,-0.5863652630323273,-0.6384349278301324,-0.616068233329357,-0.6324108314445902,-0.6578193963974711,-0.6345580341166647,-0.6578193963974711,-0.6126088512465704,-0.6560897053560778,-0.6543600143146845,-0.6539425026840033,-0.6780388882261721,-0.6500656089705357,-0.6616962901109389,-0.6341405224859835,-0.6582369080281523,-0.6143385422879637,-0.6582369080281523,-0.6539425026840033,-0.6302636287725158,-0.6263867350590481,-0.6324108314445902,-0.6720147918406298,-0.6500656089705357,-0.7055946558511274,-0.6995705594655852,-0.6758916855540976,-0.6720147918406298,-0.6479184062984612,-0.651795300011929,-0.6560897053560778,-0.65221281164261,-0.6599665990695456,-0.6539425026840033,-0.667720386496481,-0.6978408684241919,-0.6500656089705357,-0.6780388882261721,-0.6281164261004414,-0.6621138017416199,-0.6758916855540976,-0.6500656089705357,-0.6621138017416199,-0.636287725158058,-0.6182154360014315,-0.6263867350590481,-0.6341405224859835,-0.5906596683764762,-0.6461887152570679,-0.6324108314445902,-0.636287725158058,-0.6896695693665753,-0.6758916855540976,-0.6423118215436001,-0.6698675891685555,-0.6560897053560778,-0.6758916855540976,-0.6461887152570679,-0.6698675891685555,-0.6164857449600382,-0.6758916855540976,-0.6423118215436001,-0.6461887152570679,-0.6384349278301324,-0.6500656089705357,-0.6461887152570679,-0.65221281164261,-0.6758916855540976,-0.6780388882261721,-0.6659906954550877,-0.65221281164261,-0.6720147918406298,-0.6819157819396398,-0.6539425026840033,-0.6341405224859835,-0.6341405224859835,-0.6638434927830132,-0.6126088512465704,-0.636287725158058,-0.6384349278301324,-0.6698675891685555,-0.65221281164261,-0.6720147918406298,-0.6302636287725158,-0.6401646188715258,-0.6720147918406298,-0.6461887152570679,-0.6621138017416199,-0.6621138017416199,-0.6621138017416199,-0.6341405224859835,-0.6720147918406298,-0.6500656089705357,-0.65221281164261,-0.6483359179291424,-0.6500656089705357,-0.6302636287725158,-0.6599665990695456,-0.6423118215436001,-0.6203626386735059,-0.6423118215436001,-0.6659906954550877,-0.6560897053560778,-0.6560897053560778,-0.6698675891685555,-0.65221281164261,-0.6582369080281523,-0.6857926756531075,-0.6461887152570679,-0.6659906954550877,-0.6758916855540976,-0.6621138017416199,-0.6621138017416199,-0.6720147918406298,-0.6599665990695456,-0.6560897053560778,-0.6461887152570679,-0.6560897053560778,-0.6659906954550877,-0.6659906954550877,-0.6401646188715258,-0.6659906954550877,-0.6461887152570679,-0.6461887152570679,-0.6380174161994513,-0.6263867350590481,-0.6461887152570679,-0.6599665990695456,-0.6819157819396398,-0.636287725158058,-0.6698675891685555,-0.6720147918406298,-0.6302636287725158,-0.6582369080281523,-0.6560897053560778,-0.6384349278301324
equal_opportunity_difference,-0.5775519222271321,-0.32832523199292973,-0.41316836058329653,-0.5355722492266902,-0.5550154661953159,-0.554131683605833,-0.586389748121962,-0.5355722492266902,-0.5912505523641184,-0.5452938577110031,-0.586389748121962,-0.5678303137428193,-0.4582412726469289,-0.5629695095006628,-0.5638532920901458,-0.5315952275740168,-0.5315952275740168,-0.586389748121962,-0.5638532920901458,-0.618647812638091,-0.5912505523641184,-0.6137870083959345,-0.5501546619531595,-0.6323464427750773,-0.5589924878479893,-0.586389748121962,-0.5912505523641184,-0.5726911179849756,-0.5678303137428193,-0.5726911179849756,-0.5912505523641184,-0.5589924878479893,-0.6049491825011047,-0.6000883782589483,-0.5589924878479893,-0.5130357931948741,-0.5775519222271321,-0.6460450729120636,-0.6000883782589483,-0.65974370304905,-0.6411842686699072,-0.6323464427750773,-0.6460450729120636,-0.586389748121962,-0.5355722492266902,-0.586389748121962,-0.5726911179849756,-0.586389748121962,-0.586389748121962,-0.6137870083959345,-0.6323464427750773,-0.6000883782589483,-0.6323464427750773,-0.586389748121962,-0.6049491825011047,-0.6000883782589483,-0.5589924878479893,-0.618647812638091,-0.5912505523641184,-0.5775519222271321,-0.5775519222271321,-0.5912505523641184,-0.5315952275740168,-0.5726911179849756,-0.5638532920901458,-0.5452938577110031,-0.6137870083959345,-0.6460450729120636,-0.5775519222271321,-0.6137870083959345,-0.5726911179849756,-0.6137870083959345,-0.5912505523641184,-0.6000883782589483,-0.5775519222271321,-0.6460450729120636,-0.6049491825011047,-0.5726911179849756,-0.5638532920901458,-0.6000883782589483,-0.5726911179849756,-0.6049491825011047,-0.6000883782589483,-0.618647812638091,-0.6049491825011047,-0.6049491825011047,-0.6000883782589483,-0.6460450729120636,-0.6000883782589483,-0.5726911179849756,-0.6049491825011047,-0.6000883782589483,-0.5638532920901458,-0.5589924878479893,-0.5775519222271321,-0.6460450729120636,-0.6049491825011047,-0.6049491825011047,-0.5589924878479893,-0.5726911179849756,-0.6323464427750773,-0.5726911179849756,-0.6323464427750773,-0.6049491825011047,-0.6049491825011047,-0.586389748121962,-0.6000883782589483,-0.5726911179849756,-0.5726911179849756,-0.5912505523641184,-0.586389748121962,-0.5726911179849756,-0.6000883782589483,-0.5912505523641184,-0.5452938577110031,-0.5912505523641184,-0.6323464427750773,-0.618647812638091,-0.6000883782589483,-0.6460450729120636,-0.6049491825011047,-0.6049491825011047,-0.6460450729120636,-0.5726911179849756,-0.586389748121962,-0.6137870083959345,-0.586389748121962,-0.6049491825011047,-0.6323464427750773,-0.586389748121962,-0.586389748121962,-0.5726911179849756,-0.618647812638091,-0.6323464427750773,-0.586389748121962,-0.5726911179849756,-0.6323464427750773,-0.6049491825011047,-0.5726911179849756,-0.586389748121962,-0.5912505523641184,-0.5726911179849756,-0.6000883782589483,-0.6460450729120636,-0.5912505523641184,-0.6137870083959345,-0.6323464427750773,-0.5589924878479893,-0.6049491825011047,-0.586389748121962,-0.5775519222271321
average_abs_odds_difference,0.4808394531770581,0.32593510276895166,0.36967941838688634,0.4800877119149324,0.49417439976432465,0.4543145190515937,0.48155466242076933,0.49053744736466787,0.4802813608381438,0.44314957435814706,0.47414725501336197,0.45375642671267946,0.4137767209795491,0.48399798226355895,0.49859331271173957,0.4356388836282782,0.479421952411347,0.445179001045108,0.4881435772620041,0.5185831655783048,0.45567818623496925,0.48414218144664445,0.4634371193363681,0.48297216318648045,0.4789671433948941,0.4920043978705048,0.5412601968169798,0.48885878650571535,0.49687811983437263,0.4672979399448688,0.5055459111026941,0.4425914820192327,0.4945380833140444,0.48099657008185515,0.46415232858007927,0.4485813886609291,0.4771357494733544,0.4935251819586773,0.46684313092841595,0.5502422218948954,0.5231053618481811,0.5186864489007662,0.4935251819586773,0.4883006941668011,0.46659564842286894,0.48155466242076933,0.47840905105597986,0.4957081015742085,0.4920043978705048,0.5019993243037874,0.5439509991653164,0.46684313092841595,0.5082367134510307,0.4525864084525154,0.5086915224674836,0.5062611203464054,0.499866614294365,0.49768369467883383,0.4802813608381438,0.4801780775156825,0.4734320457696507,0.4907310962878793,0.4147394127288073,0.47470534735227615,0.4881435772620041,0.47886386007243276,0.5272638745683376,0.5076786211121165,0.49499289233049726,0.49154958885405187,0.492562490209419,0.4952532925577556,0.4981385036952867,0.5025574166427017,0.45557490291250785,0.5076786211121165,0.47297723675319786,0.47470534735227615,0.49184728096570784,0.46684313092841595,0.47470534735227615,0.4908343796103407,0.5062611203464054,0.5192445412396804,0.5228449616209228,0.4908343796103407,0.4921076811929662,0.5113823248158201,0.48099657008185515,0.4672979399448688,0.47972326849922964,0.498853712938998,0.4524292915477184,0.467856032283783,0.4808394531770581,0.5039749174084127,0.4908343796103407,0.5265486653246264,0.46415232858007927,0.47100164364857244,0.5045330097473271,0.47470534735227615,0.48667586689018416,0.5086915224674836,0.5086915224674836,0.45629011215621906,0.4921076811929662,0.48885878650571535,0.47840905105597986,0.48768876824555124,0.4778509587170656,0.4531445007914296,0.4847002737855588,0.48398506454184753,0.4573030135115862,0.48398506454184753,0.5008293060436233,0.4939799909751301,0.47054683463211966,0.5039749174084127,0.4908343796103407,0.4945380833140444,0.5255357639692593,0.47470534735227615,0.4994118052779122,0.4952532925577556,0.48525836612447304,0.5086915224674836,0.5045330097473271,0.4957081015742085,0.48155466242076933,0.47470534735227615,0.4939799909751301,0.5008293060436233,0.4994118052779122,0.47100164364857244,0.5008293060436233,0.487130675906637,0.47470534735227615,0.4704435513096582,0.462424217981001,0.47470534735227615,0.4847002737855588,0.5113823248158201,0.4802813608381438,0.49154958885405187,0.5045330097473271,0.46415232858007927,0.4945380833140444,0.48155466242076933,0.4808394531770581
disparate_impact,-2.1482693830484165,-1.2571537549128577,-1.7579984896811685,-1.6207973681676835,-1.9869584263168178,-1.831868338247624,-2.0550118895618334,-1.5591119160125186,-2.028343642479672,-2.0009446682915577,-1.93722885390545,-1.7496302400106516,-1.8406020182163785,-1.934454927022725,-1.9677190206632373,-1.7290109528079163,-2.1482693830484165,-1.7698329473281713,-2.079276511561465,-1.9091371190384352,-2.208584033069802,-1.9091371190384352,-2.051496947454389,-2.0550118895618334,-2.2359830072579165,-1.950300935472803,-2.2016153637537093,-1.9943872677453989,-1.8705828504283144,-1.9239836271554296,-2.1752980554363357,-1.8969549547675102,-2.1752980554363357,-1.950300935472803,-1.9677190206632373,-2.0147379904238933,-2.079276511561465,-2.1326224922667576,-1.9943872677453989,-2.1187277039479415,-2.0581030821315065,-2.080987375965094,-2.1326224922667576,-1.8962337142025272,-1.8578438246508846,-2.0550118895618334,-2.106305183949384,-2.0074593493127515,-1.950300935472803,-1.921876144815865,-2.2272577943670466,-1.9943872677453989,-2.2016153637537093,-1.8699164058851538,-2.119550410699405,-2.080987375965094,-1.9943872677453989,-2.119550410699405,-2.028343642479672,-1.856493385553013,-2.0147379904238933,-1.9239836271554296,-1.9121491695084267,-2.041766662811813,-2.079276511561465,-2.028343642479672,-2.0456805621329495,-2.080987375965094,-2.092882163617243,-2.0203627541486595,-2.0550118895618334,-2.080987375965094,-2.041766662811813,-2.0203627541486595,-2.0009446682915577,-2.080987375965094,-2.092882163617243,-2.041766662811813,-2.1482693830484165,-1.9943872677453989,-2.041766662811813,-2.106305183949384,-2.080987375965094,-2.2016153637537093,-2.0680839711291865,-2.106305183949384,-2.1326224922667576,-2.1455258971026656,-1.950300935472803,-1.9239836271554296,-1.9239836271554296,-1.963204340308711,-2.051496947454389,-2.028343642479672,-2.1482693830484165,-2.0203627541486595,-2.106305183949384,-2.1326224922667576,-1.9677190206632373,-1.9811420409953782,-2.1326224922667576,-2.041766662811813,-2.119550410699405,-2.119550410699405,-2.119550410699405,-1.9239836271554296,-2.1326224922667576,-1.9943872677453989,-2.106305183949384,-2.161875035104195,-1.9943872677453989,-1.9677190206632373,-2.0074593493127515,-2.092882163617243,-1.9541133686074588,-2.092882163617243,-2.0680839711291865,-2.0550118895618334,-2.0550118895618334,-2.0203627541486595,-2.106305183949384,-2.1752980554363357,-2.093726401742524,-2.041766662811813,-2.0680839711291865,-2.080987375965094,-2.119550410699405,-2.119550410699405,-2.1326224922667576,-2.0074593493127515,-2.0550118895618334,-2.041766662811813,-2.0550118895618334,-2.0680839711291865,-2.0680839711291865,-1.9811420409953782,-2.0680839711291865,-2.041766662811813,-2.041766662811813,-1.8831616326351743,-2.0147379904238933,-2.041766662811813,-2.0074593493127515,-2.1455258971026656,-2.028343642479672,-2.0203627541486595,-2.1326224922667576,-1.9677190206632373,-2.1752980554363357,-2.0550118895618334,-2.1482693830484165
theil_index,0.16560093453863525,0.12757757368250705,0.22213426515158252,0.1471425978824131,0.1933268217610331,0.14817533007769082,0.14927763426644275,0.14963671679894483,0.16344765671778005,0.16121125114160517,0.15144954464712204,0.1458929510776159,0.17669128942759438,0.130019351522808,0.1754449831366636,0.1720363102756768,0.16560093453863528,0.15352781795846263,0.1722574213497318,0.15986456210778813,0.15766836149655106,0.14386885794102017,0.17557725937039304,0.14927763426644275,0.15451057964967618,0.15250022055087084,0.1645292795057983,0.15579067323130308,0.1458929510776159,0.15579067323130308,0.16234176478278625,0.15907142769036567,0.15684059668310413,0.14712698659304185,0.15907142769036567,0.15684059668310413,0.1667343362456685,0.1438411857914628,0.14496024853505393,0.14386885794102014,0.1342691766849036,0.15144954464712204,0.14384118579146277,0.1535278179584626,0.13958064933287254,0.14927763426644275,0.152488808013275,0.15144954464712204,0.1525002205508709,0.14489212198084145,0.1503754608831785,0.1449602485350539,0.1481557240595004,0.15144954464712204,0.15907142769036567,0.14605540316416527,0.16120588557942764,0.15361357587493304,0.16344765671778005,0.1720363102756768,0.16784293288246835,0.16662109792755223,0.1656009345386353,0.15361357587493304,0.17225742134973177,0.16344765671778005,0.14386885794102014,0.14605540316416527,0.16784293288246835,0.14175375263521284,0.1547140827414227,0.1406612616812085,0.16452927950579832,0.14712698659304188,0.1667343362456685,0.14605540316416527,0.15684059668310413,0.15361357587493304,0.17114611198311486,0.1449602485350539,0.15361357587493304,0.1579682323655275,0.14605540316416527,0.15361357587493304,0.16120588557942764,0.1579682323655275,0.14384118579146277,0.1449602485350539,0.14712698659304188,0.15579067323130308,0.16120588557942767,0.14817533007769082,0.1700098121369798,0.1579682323655275,0.1656009345386353,0.14712698659304185,0.1579682323655275,0.16015053121640266,0.15907142769036564,0.1547140827414227,0.14927763426644275,0.15361357587493304,0.1481557240595004,0.15907142769036567,0.15907142769036564,0.1503754608831785,0.14384118579146277,0.15579067323130308,0.152488808013275,0.16121125114160514,0.1503754608831785,0.15361357587493304,0.14605540316416527,0.16234176478278625,0.16344765671778005,0.16234176478278625,0.1503754608831785,0.15471408274142268,0.1438411857914628,0.14712698659304185,0.1579682323655275,0.15684059668310416,0.14712698659304185,0.15361357587493304,0.1503754608831785,0.1406612616812085,0.1481557240595004,0.15907142769036567,0.14927763426644275,0.15144954464712204,0.14927763426644275,0.15361357587493304,0.15471408274142268,0.1503754608831785,0.1503754608831785,0.1547140827414227,0.1503754608831785,0.15907142769036567,0.15361357587493304,0.1525002205508709,0.16234176478278625,0.15361357587493304,0.14605540316416527,0.14496024853505393,0.16344765671778005,0.14175375263521287,0.14927763426644275,0.15907142769036564,0.15684059668310413,0.14927763426644275,0.16560093453863525
