,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116
accuracy,0.8619402985074627,0.753731343283582,0.7947761194029851,0.7910447761194029,0.8097014925373134,0.7873134328358209,0.8059701492537313,0.8097014925373134,0.8283582089552238,0.8097014925373134,0.8246268656716418,0.8134328358208955,0.8208955223880597,0.8171641791044776,0.8097014925373134,0.8059701492537313,0.8097014925373134,0.8134328358208955,0.835820895522388,0.8208955223880597,0.832089552238806,0.835820895522388,0.8432835820895522,0.8395522388059702,0.8395522388059702,0.8395522388059702,0.8395522388059702,0.832089552238806,0.8283582089552238,0.8246268656716418,0.8283582089552238,0.8246268656716418,0.8246268656716418,0.832089552238806,0.8395522388059702,0.8395522388059702,0.8507462686567164,0.8507462686567164,0.8582089552238806,0.8544776119402985,0.8544776119402985,0.8470149253731343,0.8544776119402985,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8507462686567164,0.8582089552238806,0.8619402985074627,0.8619402985074627,0.8582089552238806,0.8619402985074627,0.8544776119402985,0.8582089552238806,0.8544776119402985,0.8582089552238806,0.8507462686567164,0.8582089552238806,0.8544776119402985,0.8582089552238806,0.8544776119402985,0.8544776119402985,0.8507462686567164,0.8544776119402985,0.8507462686567164,0.8544776119402985,0.8507462686567164,0.8619402985074627,0.8582089552238806,0.8582089552238806,0.8619402985074627,0.8619402985074627,0.8656716417910447,0.8656716417910447,0.8619402985074627,0.8656716417910447,0.8619402985074627,0.8619402985074627,0.8544776119402985,0.8656716417910447,0.8619402985074627,0.8656716417910447,0.8656716417910447,0.8619402985074627,0.8694029850746269,0.8694029850746269,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8582089552238806,0.8656716417910447,0.8582089552238806,0.8582089552238806,0.8619402985074627,0.8619402985074627,0.8619402985074627,0.8544776119402985,0.8619402985074627,0.8582089552238806,0.8582089552238806,0.8544776119402985,0.8544776119402985,0.8507462686567164,0.8544776119402985,0.8544776119402985,0.8582089552238806,0.8582089552238806,0.8656716417910447,0.8619402985074627,0.8619402985074627,0.8619402985074627,0.8619402985074627,0.8582089552238806,0.8582089552238806,0.8582089552238806,0.8619402985074627
f1,0.8082901554404145,0.6886792452830189,0.6892655367231638,0.7200000000000001,0.718232044198895,0.7164179104477613,0.7234042553191489,0.746268656716418,0.7553191489361702,0.743718592964824,0.7539267015706806,0.7474747474747475,0.7473684210526317,0.7487179487179487,0.7357512953367876,0.7346938775510204,0.7384615384615384,0.75,0.7731958762886598,0.7575757575757576,0.7692307692307692,0.78,0.7857142857142858,0.7839195979899497,0.7794871794871795,0.7839195979899497,0.7772020725388601,0.7692307692307692,0.7604166666666667,0.7564766839378237,0.7604166666666667,0.758974358974359,0.7564766839378237,0.7692307692307692,0.7772020725388601,0.7817258883248731,0.7938144329896907,0.7959183673469388,0.8041237113402062,0.8,0.8,0.7918781725888324,0.8,0.7979797979797979,0.7959183673469388,0.7979797979797979,0.7959183673469388,0.7979797979797979,0.8041237113402062,0.8102564102564104,0.8102564102564104,0.8080808080808081,0.8102564102564104,0.8040201005025126,0.8061224489795918,0.8020304568527918,0.8061224489795918,0.7999999999999999,0.8080808080808081,0.8040201005025126,0.8061224489795918,0.8020304568527918,0.8,0.7959183673469388,0.8,0.7959183673469388,0.8,0.7959183673469388,0.8082901554404145,0.8041237113402062,0.8041237113402062,0.8102564102564104,0.8102564102564104,0.8163265306122448,0.8163265306122448,0.8121827411167513,0.8163265306122448,0.8121827411167513,0.8102564102564104,0.8020304568527918,0.8144329896907218,0.8102564102564104,0.8144329896907218,0.8144329896907218,0.8082901554404145,0.8205128205128206,0.8205128205128206,0.8163265306122448,0.8144329896907218,0.8144329896907218,0.8144329896907218,0.8061224489795918,0.8144329896907218,0.8061224489795918,0.8041237113402062,0.8102564102564104,0.8102564102564104,0.8102564102564104,0.7979274611398963,0.8102564102564104,0.8041237113402062,0.8041237113402062,0.7979274611398963,0.7979274611398963,0.7916666666666666,0.7979274611398963,0.7958115183246074,0.8020833333333334,0.8020833333333334,0.8144329896907218,0.8082901554404145,0.8082901554404145,0.8082901554404145,0.8082901554404145,0.8020833333333334,0.8020833333333334,0.8020833333333334,0.8082901554404145
statistical_parity_difference,0.6907114624505929,0.48344861660079047,0.4836956521739131,0.5681818181818181,0.5271739130434783,0.595602766798419,0.6032608695652174,0.6287055335968379,0.6198122529644268,0.6235177865612649,0.6193181818181819,0.629199604743083,0.6415513833992095,0.6462450592885376,0.6410573122529644,0.6571146245059288,0.6627964426877471,0.6840415019762845,0.7015810276679841,0.7119565217391305,0.7290019762845851,0.7171442687747036,0.7398715415019763,0.7228260869565217,0.7290019762845851,0.7393774703557312,0.6907114624505929,0.6793478260869565,0.6798418972332015,0.6741600790513833,0.6632905138339922,0.6627964426877471,0.657608695652174,0.6793478260869565,0.6907114624505929,0.6845355731225296,0.7015810276679841,0.6902173913043478,0.6850296442687747,0.6793478260869565,0.6793478260869565,0.6679841897233202,0.6793478260869565,0.662302371541502,0.6736660079051384,0.662302371541502,0.6736660079051384,0.6788537549407114,0.6850296442687747,0.6793478260869565,0.6793478260869565,0.6788537549407114,0.6793478260869565,0.6897233201581028,0.7067687747035574,0.7010869565217391,0.7067687747035574,0.6840415019762845,0.6954051383399209,0.6897233201581028,0.7067687747035574,0.7010869565217391,0.695899209486166,0.6902173913043478,0.695899209486166,0.6902173913043478,0.695899209486166,0.6902173913043478,0.6907114624505929,0.6850296442687747,0.6850296442687747,0.695899209486166,0.695899209486166,0.7067687747035574,0.7067687747035574,0.7010869565217391,0.7067687747035574,0.7010869565217391,0.695899209486166,0.6845355731225296,0.7015810276679841,0.695899209486166,0.7015810276679841,0.7015810276679841,0.6907114624505929,0.7124505928853755,0.7124505928853755,0.7067687747035574,0.7015810276679841,0.7015810276679841,0.7015810276679841,0.6902173913043478,0.7015810276679841,0.6902173913043478,0.6850296442687747,0.695899209486166,0.695899209486166,0.695899209486166,0.6741600790513833,0.695899209486166,0.6850296442687747,0.6850296442687747,0.6741600790513833,0.6741600790513833,0.6632905138339922,0.6741600790513833,0.6689723320158103,0.6798418972332015,0.6798418972332015,0.7015810276679841,0.6907114624505929,0.6907114624505929,0.6907114624505929,0.6907114624505929,0.6798418972332015,0.6798418972332015,0.6798418972332015,0.6907114624505929
equal_opportunity_difference,0.529064039408867,0.4576354679802956,0.5300492610837438,0.49211822660098525,0.538423645320197,0.5896551724137931,0.5812807881773399,0.583743842364532,0.5266009852216749,0.5694581280788177,0.5408866995073891,0.5694581280788177,0.5753694581280788,0.5551724137931034,0.5753694581280788,0.5896551724137931,0.5896551724137931,0.583743842364532,0.583743842364532,0.583743842364532,0.583743842364532,0.529064039408867,0.5635467980295567,0.529064039408867,0.5492610837438424,0.577832512315271,0.5349753694581281,0.5349753694581281,0.5551724137931034,0.5551724137931034,0.5551724137931034,0.5206896551724138,0.5551724137931034,0.583743842364532,0.583743842364532,0.5635467980295567,0.5635467980295567,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.4945812807881773,0.529064039408867,0.4945812807881773,0.529064039408867,0.5433497536945813,0.529064039408867,0.4945812807881773,0.4945812807881773,0.5088669950738917,0.4945812807881773,0.5088669950738917,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.5088669950738917,0.5088669950738917,0.5088669950738917,0.5433497536945813,0.5433497536945813,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.5433497536945813,0.5433497536945813,0.5576354679802955,0.5576354679802955,0.5576354679802955,0.5576354679802955,0.5576354679802955,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.529064039408867,0.5576354679802955,0.5576354679802955,0.5576354679802955,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.529064039408867,0.5433497536945813,0.5433497536945813,0.5433497536945813,0.5147783251231528,0.5433497536945813,0.529064039408867,0.529064039408867,0.5147783251231528,0.5147783251231528,0.5004926108374383,0.5147783251231528,0.5004926108374383,0.5147783251231528,0.5147783251231528,0.5433497536945813,0.529064039408867,0.529064039408867,0.529064039408867,0.529064039408867,0.5147783251231528,0.5147783251231528,0.5147783251231528,0.529064039408867
average_abs_odds_difference,0.41913931716887387,0.2756637451218732,0.27059049325059176,0.35644872369010305,0.2897745932228691,0.4018158360522892,0.40211225556053143,0.40906425266031177,0.38497643571535195,0.4053227560616723,0.38531657176977374,0.40872411660589,0.428686584351609,0.4345126138229587,0.4446111359904463,0.47107990531635846,0.47448126586057615,0.4908515130190007,0.4851310430128164,0.5237828673789264,0.5339869490115795,0.4998443264453117,0.5272897873883096,0.5032456869895293,0.5201469302454524,0.5276299234427313,0.4641481671038321,0.45734544601539673,0.4708453287271021,0.4674439681828844,0.4447166954556117,0.4468012283283219,0.4413153349113941,0.4556010491971083,0.4624037702855437,0.4455025270296207,0.4557066086622737,0.4350638688077112,0.4157379566246562,0.4123365960804385,0.4123365960804385,0.4055338749920031,0.4123365960804385,0.38829249568165825,0.4089352355362208,0.38829249568165825,0.4089352355362208,0.4126767321348602,0.4157379566246562,0.3984965773143113,0.3984965773143113,0.3988367133687331,0.3984965773143113,0.4215639860960058,0.445608086494786,0.4422067259505683,0.445608086494786,0.4181626255517882,0.4249653466402235,0.4215639860960058,0.445608086494786,0.4422067259505683,0.4384652293519289,0.4350638688077112,0.4384652293519289,0.4350638688077112,0.4384652293519289,0.4350638688077112,0.41913931716887387,0.4157379566246562,0.4157379566246562,0.4228808137675133,0.4228808137675133,0.4300236709103704,0.4300236709103704,0.4266223103661527,0.4300236709103704,0.4266223103661527,0.4228808137675133,0.4160780926790779,0.426282174311731,0.4228808137675133,0.426282174311731,0.426282174311731,0.41913931716887387,0.4334250314545881,0.4334250314545881,0.4300236709103704,0.426282174311731,0.426282174311731,0.426282174311731,0.4194794532232956,0.426282174311731,0.4194794532232956,0.4157379566246562,0.4228808137675133,0.4228808137675133,0.4228808137675133,0.40859509948179906,0.4228808137675133,0.4157379566246562,0.4157379566246562,0.40859509948179906,0.40859509948179906,0.40145224233894183,0.40859509948179906,0.4048536028831595,0.41199646002601675,0.41199646002601675,0.426282174311731,0.41913931716887387,0.41913931716887387,0.41913931716887387,0.41913931716887387,0.41199646002601675,0.41199646002601675,0.41199646002601675,0.41913931716887387
disparate_impact,1.9570282376392902,1.0615406333948982,1.583004655365945,1.4170660197866443,1.6519975268528964,1.4773880905452805,1.7623455840217617,1.5718590291510286,1.823680685441795,1.5931570268299629,1.7473077066572213,1.6295246710008378,1.8526682223150475,1.7473077066572213,1.7758810791012773,1.761101028789557,1.8036606432083528,1.7605529334072418,1.9704512579714308,1.9014583864844796,2.0480618606763548,1.8699100287495536,2.060965265512263,1.9143617913203874,2.0480618606763548,1.97362083273271,1.9570282376392902,1.8617180578349655,1.9434225855835117,1.8946324214140795,1.8808390992817439,1.8036606432083528,1.834319083646851,1.8617180578349655,1.9570282376392902,1.8306893155962722,1.9704512579714308,1.875141078167106,1.9082380734698583,1.8617180578349655,1.8617180578349655,1.7747066808453358,1.8617180578349655,1.7338846863250805,1.8172662952641316,1.7338846863250805,1.8172662952641316,1.7881297011774764,1.9082380734698583,1.8617180578349655,1.8617180578349655,1.7881297011774764,1.8617180578349655,1.8013749279274969,1.9349063205520196,1.8883863049171268,1.9349063205520196,1.7605529334072418,1.843934542346293,1.8013749279274969,1.9349063205520196,1.8883863049171268,1.921661093801999,1.875141078167106,1.921661093801999,1.875141078167106,1.921661093801999,1.875141078167106,1.9570282376392902,1.9082380734698583,1.9082380734698583,1.921661093801999,1.921661093801999,1.9349063205520196,1.9349063205520196,1.8883863049171268,1.9349063205520196,1.8883863049171268,1.921661093801999,1.8306893155962722,1.9704512579714308,1.921661093801999,1.9704512579714308,1.9704512579714308,1.9570282376392902,1.9836964847214515,1.9836964847214515,1.9349063205520196,1.9704512579714308,1.9704512579714308,1.9704512579714308,1.875141078167106,1.9704512579714308,1.875141078167106,1.9082380734698583,1.921661093801999,1.921661093801999,1.921661093801999,1.8946324214140795,1.921661093801999,1.9082380734698583,1.9082380734698583,1.8946324214140795,1.8946324214140795,1.8808390992817439,1.8946324214140795,1.9296292634511758,1.9434225855835117,1.9434225855835117,1.9704512579714308,1.9570282376392902,1.9570282376392902,1.9570282376392902,1.9570282376392902,1.9434225855835117,1.9434225855835117,1.9434225855835117,1.9570282376392902
theil_index,0.10317024786890301,0.14571740760393315,0.17701161610570595,0.1414633047438777,0.15942648814814897,0.14233248005033186,0.1508653087036491,0.12698604800841423,0.13474560683016196,0.13026687744848653,0.13269602614754183,0.12931850383581067,0.13694337727378197,0.1315770424708891,0.14006781641582022,0.1377814951426812,0.13680834194681324,0.1260600340647678,0.12006017744938069,0.12414576368237826,0.1211144435190409,0.11065676338565791,0.11172333045997648,0.10965283490395285,0.11588314404311677,0.10965283490395285,0.11898349153186756,0.12111444351904087,0.12846647378181245,0.12952565397384389,0.12846647378181245,0.12634574299496498,0.1295256539738439,0.1211144435190409,0.11898349153186755,0.112772710063857,0.10955794744089668,0.10651169752343553,0.10430683243665467,0.10542054509126854,0.10542054509126854,0.10758059635179747,0.10542054509126854,0.10345480306864854,0.10651169752343555,0.10345480306864854,0.10651169752343555,0.10345480306864854,0.10430683243665469,0.10018924561534444,0.10018924561534444,0.09828206291521611,0.10018924561534444,0.099345813631686,0.1013000645868946,0.10238848263973799,0.1013000645868946,0.10038791626625132,0.09828206291521611,0.09934581363168599,0.1013000645868946,0.10238848263973799,0.10542054509126854,0.10651169752343555,0.10542054509126855,0.10651169752343555,0.10542054509126854,0.10651169752343555,0.10317024786890301,0.10430683243665467,0.10430683243665467,0.10018924561534444,0.10018924561534444,0.09608843165035366,0.09608843165035366,0.09719636892767847,0.09608843165035365,0.09719636892767847,0.10018924561534444,0.10238848263973797,0.09905571743241265,0.10018924561534444,0.09905571743241265,0.09905571743241265,0.10317024786890301,0.09495794613942031,0.09495794613942031,0.09608843165035365,0.09905571743241265,0.09905571743241265,0.09905571743241265,0.1013000645868946,0.09905571743241265,0.1013000645868946,0.10430683243665467,0.10018924561534444,0.10018924561534444,0.10018924561534444,0.10844132908989118,0.10018924561534444,0.10430683243665467,0.10430683243665467,0.10844132908989118,0.10844132908989118,0.11259287422700455,0.10844132908989118,0.11145013555566613,0.10730167437540192,0.10730167437540192,0.09905571743241265,0.10317024786890301,0.10317024786890301,0.10317024786890301,0.10317024786890301,0.10730167437540192,0.10730167437540192,0.10730167437540192,0.10317024786890301
