,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
accuracy,0.7266666666666667,0.7433333333333333,0.7433333333333333,0.72,0.7233333333333334,0.73,0.7333333333333333,0.7233333333333334,0.7533333333333333,0.7533333333333333,0.74,0.7466666666666667,0.7533333333333333,0.7433333333333333,0.7433333333333333,0.74,0.7466666666666667,0.7466666666666667,0.7433333333333333,0.73,0.7366666666666667,0.7366666666666667,0.74,0.7433333333333333,0.75,0.7366666666666667,0.74,0.7433333333333333,0.74,0.7433333333333333,0.74,0.7433333333333333,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7466666666666667,0.7366666666666667,0.7466666666666667,0.75,0.7366666666666667,0.7466666666666667,0.74,0.74,0.7366666666666667,0.74,0.74,0.7366666666666667,0.7366666666666667,0.7333333333333333,0.7333333333333333,0.74,0.7366666666666667,0.7333333333333333,0.74,0.7366666666666667,0.7266666666666667,0.73,0.7233333333333334,0.72,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.72,0.7166666666666667,0.7166666666666667,0.72,0.72,0.7166666666666667,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.72,0.72,0.72,0.72,0.7233333333333334,0.7233333333333334,0.7266666666666667,0.7333333333333333,0.7333333333333333,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.72,0.73,0.73,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7233333333333334,0.7266666666666667,0.7333333333333333,0.7266666666666667
f1,0.4810126582278481,0.3739837398373983,0.46153846153846145,0.38235294117647056,0.42758620689655175,0.44897959183673475,0.4444444444444444,0.4195804195804196,0.463768115942029,0.4714285714285714,0.4347826086956522,0.4647887323943662,0.4714285714285714,0.4689655172413793,0.46153846153846145,0.4583333333333333,0.4794520547945206,0.4722222222222222,0.45390070921985815,0.44897959183673475,0.4551724137931034,0.4551724137931034,0.472972972972973,0.4900662251655629,0.49664429530201337,0.48366013071895425,0.4868421052631579,0.4900662251655629,0.48000000000000004,0.48322147651006714,0.48000000000000004,0.4761904761904762,0.4794520547945206,0.48648648648648646,0.48648648648648646,0.48648648648648646,0.4768211920529801,0.48648648648648646,0.4897959183673469,0.4768211920529801,0.4933333333333333,0.48000000000000004,0.48000000000000004,0.4768211920529801,0.4868421052631579,0.49350649350649345,0.49032258064516127,0.49032258064516127,0.48717948717948717,0.48717948717948717,0.49350649350649345,0.49032258064516127,0.48717948717948717,0.49350649350649345,0.49032258064516127,0.4810126582278481,0.49056603773584906,0.4779874213836478,0.47500000000000003,0.4779874213836478,0.4779874213836478,0.4779874213836478,0.4779874213836478,0.4779874213836478,0.4713375796178344,0.46835443037974683,0.46540880503144655,0.46540880503144655,0.46835443037974683,0.46835443037974683,0.46540880503144655,0.4779874213836478,0.4779874213836478,0.4713375796178344,0.46153846153846156,0.46153846153846156,0.46835443037974683,0.46835443037974683,0.4713375796178344,0.4713375796178344,0.47435897435897434,0.48717948717948717,0.48717948717948717,0.4810126582278481,0.47435897435897434,0.47435897435897434,0.47435897435897434,0.47435897435897434,0.4810126582278481,0.46835443037974683,0.4840764331210191,0.4840764331210191,0.4713375796178344,0.4713375796178344,0.4713375796178344,0.4713375796178344,0.4713375796178344,0.4713375796178344,0.47435897435897434,0.48717948717948717,0.4810126582278481
statistical_parity_difference,-0.03676470588235292,-0.1164215686274509,-0.11029411764705876,-0.1292892156862745,-0.17708333333333337,-0.12132352941176472,-0.07475490196078438,-0.06433823529411764,-0.058210784313725505,-0.06372549019607843,-0.02757352941176472,-0.023284313725490113,-0.03308823529411764,-0.008578431372548989,0.02757352941176472,0.03247549019607843,0.011642156862745057,0.0018382352941176405,0.002450980392156854,-0.02941176470588236,-0.008578431372548989,-0.008578431372548989,-0.03982843137254899,-0.040441176470588314,-0.05024509803921573,-0.07659313725490202,-0.06617647058823528,-0.05575980392156865,-0.04534313725490202,-0.03492647058823528,-0.030024509803921573,-0.02941176470588236,-0.01899509803921573,-0.02450980392156865,-0.02450980392156865,-0.02450980392156865,-0.009803921568627416,-0.02450980392156865,-0.02941176470588236,-0.009803921568627416,-0.030024509803921573,-0.030024509803921573,-0.04534313725490202,-0.040441176470588314,-0.05085784313725494,-0.041053921568627416,-0.02083333333333337,-0.03615196078431371,-0.03125,-0.03125,-0.041053921568627416,-0.03615196078431371,-0.03125,-0.02573529411764708,-0.02083333333333337,-0.021446078431372584,-0.016544117647058876,-0.016544117647058876,-0.026960784313725505,-0.031862745098039214,-0.031862745098039214,-0.031862745098039214,-0.016544117647058876,-0.016544117647058876,-0.026348039215686292,-0.03676470588235292,-0.031862745098039214,-0.031862745098039214,-0.021446078431372584,-0.021446078431372584,-0.031862745098039214,-0.04718137254901966,-0.04718137254901966,-0.04166666666666663,-0.03125,-0.03125,-0.05208333333333337,-0.06740196078431371,-0.04166666666666663,-0.07230392156862742,-0.061887254901960786,-0.061887254901960786,-0.04656862745098034,-0.06740196078431371,-0.04656862745098034,-0.04656862745098034,-0.04656862745098034,-0.04656862745098034,-0.03676470588235292,-0.03676470588235292,-0.04166666666666663,-0.04166666666666663,-0.026348039215686292,-0.026348039215686292,-0.026348039215686292,-0.026348039215686292,-0.026348039215686292,-0.026348039215686292,-0.03125,-0.03125,-0.03676470588235292
equal_opportunity_difference,-0.04153481012658233,-0.05834651898734178,-0.03896360759493667,-0.082871835443038,-0.12341772151898733,-0.057555379746835444,-0.004351265822784778,-0.019976265822784778,0.0015822784810126667,0.02986550632911389,0.036194620253164556,0.020569620253164556,0.007911392405063333,0.03322784810126578,0.07080696202531644,0.07713607594936711,0.07713607594936711,0.04885284810126578,0.04252373417721522,0.008306962025316444,0.039556962025316444,0.039556962025316444,0.023931962025316444,0.03026107594936711,0.017602848101265778,-0.022943037974683556,-0.0073180379746835555,0.008306962025316444,0.008306962025316444,0.023931962025316444,0.03026107594936711,0.017602848101265778,0.03322784810126578,0.017602848101265778,0.017602848101265778,0.017602848101265778,0.03659018987341767,0.017602848101265778,0.011273734177215222,0.014636075949367111,-0.019976265822784778,-0.013647151898734222,-0.03560126582278478,-0.029272151898734222,-0.05122626582278478,-0.04489715189873422,-0.01661392405063289,-0.038568037974683556,-0.03223892405063289,-0.03223892405063289,-0.04489715189873422,-0.038568037974683556,-0.03223892405063289,-0.022943037974683556,-0.01661392405063289,-0.019580696202531667,-0.019580696202531667,-0.03520569620253167,-0.05083069620253167,-0.05715981012658233,-0.05715981012658233,-0.05715981012658233,-0.03520569620253167,-0.03520569620253167,-0.04153481012658233,-0.05715981012658233,-0.05083069620253167,-0.05083069620253167,-0.03520569620253167,-0.03520569620253167,-0.05083069620253167,-0.05715981012658233,-0.05715981012658233,-0.06348892405063289,-0.04153481012658233,-0.04153481012658233,-0.05715981012658233,-0.07911392405063289,-0.04153481012658233,-0.08544303797468356,-0.06981803797468356,-0.054193037974683556,-0.054193037974683556,-0.08544303797468356,-0.06981803797468356,-0.06981803797468356,-0.06981803797468356,-0.06981803797468356,-0.04153481012658233,-0.05715981012658233,-0.04786392405063289,-0.04786392405063289,-0.04153481012658233,-0.04153481012658233,-0.04153481012658233,-0.04153481012658233,-0.04153481012658233,-0.04153481012658233,-0.04786392405063289,-0.03223892405063289,-0.04153481012658233
average_abs_odds_difference,0.06288697028068246,0.12360260731975786,0.11119376031920747,0.12975113511282332,0.1751599477160154,0.12048964639515686,0.07826258943313152,0.054825089433131524,0.05038353054485417,0.10664470968629608,0.06293426664832141,0.02251307099614752,0.01618395707209691,0.01797261970280678,0.04966978536048433,0.052834342322509664,0.05555173362685745,0.02578511970280678,0.024658606219042367,0.016381741882223466,0.032006741882223466,0.032006741882223466,0.055444241882223466,0.06336423362685745,0.05703511970280678,0.05970521463951567,0.05189271463951567,0.052387176664832114,0.036762176664832114,0.044574676664832114,0.04773923362685745,0.02578511970280678,0.03359761970280678,0.014915554485415483,0.014915554485415483,0.014915554485415483,0.024409225371491428,0.014915554485415483,0.011750997523390205,0.02769847275729226,0.04123813291139239,0.027204010731975814,0.03818106769400109,0.035016510731975814,0.05686313291139239,0.06456814116675841,0.05042652724270774,0.061403584204733075,0.05823902724270774,0.05823902724270774,0.06456814116675841,0.061403584204733075,0.05823902724270774,0.053591084204733075,0.05042652724270774,0.05190991331865713,0.06277947853604846,0.08621697853604846,0.09402947853604846,0.09719403549807379,0.09719403549807379,0.09719403549807379,0.08621697853604846,0.08621697853604846,0.07851197028068246,0.08632447028068246,0.08315991331865713,0.08315991331865713,0.07534741331865713,0.07534741331865713,0.08315991331865713,0.07069947028068246,0.07069947028068246,0.08948902724270774,0.06764240506329117,0.06764240506329117,0.05982990506329117,0.07080696202531644,0.05201740506329117,0.07397151898734178,0.06615901898734178,0.04272151898734178,0.06921608420473307,0.08484108420473307,0.09265358420473307,0.09265358420473307,0.09265358420473307,0.09265358420473307,0.06288697028068246,0.08632447028068246,0.06605152724270774,0.06605152724270774,0.07851197028068246,0.07851197028068246,0.07851197028068246,0.07851197028068246,0.07851197028068246,0.07851197028068246,0.08167652724270774,0.05823902724270774,0.06288697028068246
disparate_impact,-0.05060101329378949,-0.14066013568527574,-0.14471430486426815,-0.1654132875241394,-0.23889190828234896,-0.16251892949777494,-0.0975993833984593,-0.0834147484065029,-0.07376256889198385,-0.08154986696410774,-0.034685557987889984,-0.029759439651834075,-0.0420295322436485,-0.011067306639681562,0.03498219120309727,0.04133141888175596,0.015014110564382505,0.0023557136924589835,0.0031007776782481854,-0.03846628082779605,-0.011067306639681562,-0.011067306639681562,-0.052452522802535914,-0.05397876092256896,-0.06663715779449243,-0.10413061125962068,-0.08931552547447996,-0.07471672605332733,-0.06032798860122776,-0.04614335360927125,-0.0397941259306125,-0.03846628082779605,-0.024672958695460268,-0.0321571116345314,-0.0321571116345314,-0.0321571116345314,-0.012987195526811079,-0.0321571116345314,-0.03846628082779605,-0.012987195526811079,-0.0397941259306125,-0.0397941259306125,-0.06032798860122776,-0.05397876092256896,-0.0683674983746686,-0.05554680994560701,-0.028170876966696335,-0.049074295439989604,-0.04255961441879589,-0.04255961441879589,-0.05554680994560701,-0.049074295439989604,-0.04255961441879589,-0.0346855579878901,-0.028170876966696335,-0.02940152984128486,-0.02275698712261629,-0.02275698712261629,-0.03735578654376897,-0.04400032926243747,-0.04400032926243747,-0.04400032926243747,-0.02275698712261629,-0.02275698712261629,-0.03600221387263686,-0.05060101329378949,-0.04400032926243747,-0.04400032926243747,-0.02940152984128486,-0.02940152984128486,-0.04400032926243747,-0.0654160990789302,-0.0654160990789302,-0.05715841383994852,-0.04255961441879589,-0.04255961441879589,-0.07197349962508934,-0.09352605801082348,-0.05715841383994852,-0.09999857251644086,-0.08496069515190038,-0.08496069515190038,-0.06367309486114218,-0.09352605801082348,-0.06367309486114218,-0.06367309486114218,-0.06367309486114218,-0.06367309486114218,-0.05060101329378949,-0.05060101329378949,-0.05715841383994852,-0.05715841383994852,-0.03600221387263686,-0.03600221387263686,-0.03600221387263686,-0.03600221387263686,-0.03600221387263686,-0.03600221387263686,-0.04255961441879589,-0.04255961441879589,-0.05060101329378949
theil_index,0.19276876816688945,0.12460752179766099,0.15688678012369997,0.16073431254441103,0.17349385499347775,0.1723287260768863,0.16516884008875374,0.1701739465242101,0.14226423845311525,0.14545559730471652,0.1509830709129888,0.1530622475071677,0.14545559730471652,0.16012124057753024,0.15688678012369994,0.16072558893131816,0.15950262081621966,0.15628233777388265,0.15365282189886942,0.1723287260768863,0.16457877871617943,0.16457877871617943,0.16722378755326078,0.1698250220026109,0.1620750163390869,0.17763405464490287,0.1737221048483856,0.16982502200261093,0.17047306932811898,0.16659063315055234,0.17047306932811898,0.1633559470405116,0.15950262081621966,0.16272283183533906,0.16272283183533906,0.16272283183533906,0.17437024941611876,0.16272283183533906,0.15886955752232423,0.17437024941611876,0.16594269559896901,0.17047306932811898,0.17047306932811898,0.17437024941611876,0.1737221048483856,0.17697060444952895,0.18089737417574928,0.18089737417574928,0.18483924814931874,0.18483924814931874,0.17697060444952895,0.18089737417574928,0.18483924814931874,0.17697060444952895,0.1808973741757493,0.19276876816688945,0.1920889893338912,0.1967566471154397,0.20076009615915302,0.1967566471154397,0.1967566471154397,0.1967566471154397,0.1967566471154397,0.1967566471154397,0.19343277687058322,0.19742076266729175,0.20142430489698812,0.20142430489698812,0.19742076266729175,0.19742076266729175,0.20142430489698812,0.1967566471154397,0.1967566471154397,0.19343277687058322,0.19408121055678465,0.19408121055678465,0.19742076266729175,0.19742076266729175,0.19343277687058322,0.19343277687058322,0.1894602293530517,0.18483924814931874,0.18483924814931874,0.19276876816688945,0.1894602293530517,0.1894602293530517,0.1894602293530517,0.1894602293530517,0.19276876816688945,0.19742076266729175,0.1887963408802157,0.1887963408802157,0.19343277687058322,0.19343277687058322,0.19343277687058322,0.19343277687058322,0.19343277687058322,0.19343277687058322,0.1894602293530517,0.18483924814931874,0.19276876816688945
