,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
accuracy,0.736,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672,0.672
F1,0.22950819672131148,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338,0.2337662337662338
statistical_parity_difference,0.25673940949935814,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553,0.22032909324308553
equal_opportunity_difference,0.3152709359605912,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257,0.17733990147783257
average_abs_odds_difference,0.259426000234404,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486,0.19830939150418486
disparate_impact,0.965467967850239,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615,0.562410758810615
theil_index,0.22588053427902308,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078,0.20604675073716078
