iter	Logloss
171	0.4659270194
172	0.4655157146
173	0.4646746327
174	0.4638050944
175	0.4632431365
176	0.4627342754
177	0.4622457824
178	0.46198158
179	0.461162141
180	0.4607302375
181	0.4602597362
182	0.4598412932
183	0.4590521993
184	0.4585090127
185	0.4575540389
186	0.4569560586
187	0.4563608811
188	0.4557996086
189	0.4554538918
190	0.4549743168
191	0.4545352329
192	0.4537813004
193	0.4531452857
194	0.4528869821
195	0.4523956699
196	0.4518064727
197	0.4513658206
198	0.4505939089
199	0.4502004635
200	0.4497124967
201	0.4494613321
202	0.4489946516
203	0.4486442279
204	0.448075752
205	0.4471346227
206	0.4465220866
207	0.4459188332
208	0.4455692329
209	0.4453607747
210	0.4448990765
211	0.4443461759
212	0.4441628827
213	0.4437727851
214	0.4431221466
215	0.4426105197
216	0.4420960468
217	0.4414903775
218	0.4413531831
219	0.4405407334
220	0.4400261953
221	0.4393953176
222	0.4389775395
223	0.4383157995
224	0.4380264345
225	0.4373180214
226	0.4371712575
227	0.4370244266
228	0.4367832447
229	0.4364717306
230	0.4360594307
231	0.4356936165
232	0.435496568
233	0.4351085481
234	0.4348455405
235	0.4344084333
236	0.4336468708
237	0.4336071536
238	0.4334331494
239	0.4331296735
240	0.4326675286
241	0.4321990532
242	0.4318032679
243	0.4315753255
244	0.4311352865
245	0.4307011643
246	0.4303246911
247	0.4299400107
248	0.4297684999
249	0.4293534727
250	0.4290799818
251	0.4287090325
252	0.4281087993
253	0.4278090515
254	0.4273886164
255	0.426773014
256	0.426526302
257	0.4262092887
258	0.425874463
259	0.4254838662
260	0.4251233587
261	0.4247642106
262	0.4245973344
263	0.4240261168
264	0.4236488347
265	0.4229914285
266	0.4226800285
267	0.4224863399
268	0.4222096723
269	0.4218517967
270	0.4213757705
271	0.4208070775
272	0.4206498575
273	0.4201563656
274	0.4196620701
275	0.419473717
276	0.4192666256
277	0.4191530228
278	0.418678803
279	0.4183913675
280	0.4182369236
281	0.4178736208
282	0.4176126351
283	0.4171214045
284	0.41702401
285	0.4165665163
286	0.4164342159
287	0.416143478
288	0.4159529016
289	0.4155820513
290	0.415209172
291	0.4148172738
292	0.4142666557
293	0.4141069973
294	0.4138546866
295	0.413558263
296	0.4133451496
297	0.4132266345
298	0.4129626558
299	0.4127407481
300	0.4126016779
301	0.4122551066
302	0.4120147343
303	0.4116189265
304	0.4113505933
305	0.4109332353
306	0.4106153704
307	0.4101918077
308	0.4097915475
309	0.4096958925
310	0.4094461982
311	0.4094005731
312	0.4091629366
313	0.4088926892
314	0.408679369
315	0.4084646353
316	0.4081726873
317	0.4076456328
318	0.4072031222
319	0.406949453
320	0.4068500901
321	0.4066607701
322	0.4065393294
323	0.4061905566
324	0.4059195423
325	0.4056670871
326	0.4055892441
327	0.4053011078
328	0.4050656467
329	0.4049351339
330	0.4046544514
331	0.4044604301
332	0.4043492211
333	0.4041225874
334	0.403860114
335	0.4036685586
336	0.4033052622
337	0.4029178981
338	0.4028124713
339	0.4026084219
340	0.4021502347
341	0.4019899263
342	0.4018784733
343	0.4017552672
344	0.401580116
345	0.401369863
346	0.4011868173
347	0.4010569183
348	0.4008613702
349	0.4004577858
350	0.4004269159
351	0.4001634816
352	0.4000772229
353	0.3999367739
354	0.3996102322
355	0.399534083
356	0.3994293965
357	0.3993182798
358	0.399087605
359	0.3989886827
360	0.3988515482
361	0.3986505738
362	0.3983975145
363	0.3981954523
364	0.3979927039
365	0.3977447093
366	0.397396961
367	0.3970867767
368	0.3969916845
369	0.3969332198
370	0.3968460986
371	0.3966372865
372	0.3964868693
373	0.3962275118
374	0.3960707369
375	0.3959279387
376	0.3956500637
377	0.3954093942
378	0.3953601987
379	0.3950055498
380	0.394860652
381	0.394759143
382	0.3946269192
383	0.3944614708
384	0.3943140454
385	0.3941914439
386	0.393974106
387	0.3937287766
388	0.3934605794
389	0.3934056828
390	0.392990151
391	0.3927304474
392	0.3925350104
393	0.3925289809
394	0.3923625775
395	0.3921609972
396	0.3919761972
397	0.3918400473
398	0.3915910595
399	0.3913130715
400	0.3911217389
401	0.3909609688
402	0.3907385772
403	0.390697772
404	0.3902363999
405	0.3900388
406	0.3896761612
407	0.3894852457
408	0.389348821
409	0.389221495
410	0.3891250565
411	0.3889888781
412	0.3887987773
413	0.38876956
414	0.3885320413
415	0.3884009281
416	0.3882757335
417	0.3880599872
418	0.3880182509
419	0.387871102
420	0.3876633304
421	0.3875955553
422	0.3873597844
423	0.3872939819
424	0.3872325583
425	0.3869700454
426	0.3867528325
427	0.3865296312
428	0.3864236185
429	0.3863124351
430	0.3862820577
431	0.3860268863
432	0.3859382744
433	0.3858810374
434	0.3854809861
435	0.3852333151
436	0.3849679511
437	0.3848478754
438	0.3847478328
439	0.3847013661
440	0.3846311178
441	0.3844484283
442	0.3842209559
443	0.3841858418
444	0.3841364924
445	0.3838965241
446	0.3838141414
447	0.3836764139
448	0.3836275835
449	0.3834923609
450	0.3834438321
451	0.3832559579
452	0.3830272247
453	0.3829575843
454	0.3827954387
455	0.3824927388
456	0.3824375443
457	0.3822523172
458	0.3821471121
459	0.3819492338
460	0.3818444605
461	0.3815826607
462	0.3812672407
463	0.3810362192
464	0.3809595169
465	0.3807734071
466	0.380617695
467	0.3805205418
468	0.380467997
469	0.3804123347
470	0.3803243652
471	0.3802712055
472	0.3799833705
473	0.3796189641
474	0.3795063192
475	0.3794134852
476	0.3792418219
477	0.3791922545
478	0.3790259983
479	0.3789272036
480	0.3787931091
481	0.3787071675
482	0.3786204102
483	0.3785208125
484	0.3784469883
485	0.3783671897
486	0.3780897551
487	0.3778575671
488	0.3776461556
489	0.3774106357
490	0.377315168
491	0.3772079716
492	0.377150771
493	0.3770564727
494	0.3769864534
495	0.3767398897
496	0.3767041359
497	0.3766444262
498	0.376565268
499	0.3762721989
