iter	Logloss
0	0.6900540809
1	0.6885297683
2	0.6852887141
3	0.683049443
4	0.6802299082
5	0.678661336
6	0.6754822358
7	0.6736413422
8	0.6725307586
9	0.6706064529
10	0.668004546
11	0.6661068942
12	0.6639681541
13	0.661963846
14	0.6591030056
15	0.6560677982
16	0.6537663213
17	0.6506854084
18	0.6479863632
19	0.645826836
20	0.6439048963
21	0.64178086
22	0.6394591991
23	0.6368333712
24	0.6349661354
25	0.632650241
26	0.6301068604
27	0.6280505883
28	0.6254783318
29	0.6232310396
30	0.6208536988
31	0.6192232658
32	0.61756898
33	0.6151978393
34	0.6132965736
35	0.611029425
36	0.609605073
37	0.6076297994
38	0.605634023
39	0.603635698
40	0.6014808289
41	0.5998494338
42	0.5985159071
43	0.5971093706
44	0.5945476
45	0.5929864929
46	0.5913779486
47	0.5896888564
48	0.5877401691
49	0.5861237456
50	0.5847302091
51	0.582771266
52	0.581059659
53	0.5795849474
54	0.5774506908
55	0.57553853
56	0.5740146285
57	0.5727143639
58	0.571209127
59	0.5694268235
60	0.5681320322
61	0.56644395
62	0.5647967258
63	0.5633463663
64	0.5617868281
65	0.560546421
66	0.5588024996
67	0.5566801917
68	0.5555776072
69	0.5548105925
70	0.5529891119
71	0.5523358807
72	0.5510789078
73	0.5501309921
74	0.5485701082
75	0.5474596424
76	0.5466856499
77	0.5449212827
78	0.543777551
79	0.5426252303
80	0.5413879592
81	0.5404163686
82	0.5390650119
83	0.5375856018
84	0.5366289192
85	0.535604342
86	0.5344998531
87	0.5328168397
88	0.5320302528
89	0.5304785282
90	0.5288898994
91	0.5276630336
92	0.5264845648
93	0.5251592132
94	0.5237791788
95	0.5230237986
96	0.5223421779
97	0.5209516794
98	0.5196474838
99	0.5188685689
100	0.5174592971
101	0.5165322824
102	0.5158961016
103	0.515207347
104	0.5142663415
105	0.5132913727
106	0.5116712874
107	0.510219747
108	0.5092771021
109	0.5082124414
110	0.5075187508
111	0.5062569943
112	0.5057453689
113	0.5048014022
114	0.504285882
115	0.5035829676
116	0.502888346
117	0.5027988814
118	0.502185266
119	0.5012250571
120	0.5005680849
121	0.4998817314
122	0.498938089
123	0.4979972369
124	0.4975049269
125	0.4963843072
126	0.4951977741
127	0.4942751644
128	0.4933223556
129	0.4922209336
130	0.49171607
131	0.4913661343
132	0.490886538
133	0.4902560571
134	0.4895940285
135	0.4888490378
136	0.487707654
137	0.4872230972
138	0.4865937629
139	0.4860385852
140	0.4852526332
141	0.4846016043
142	0.4844204079
143	0.4840735382
144	0.4836221734
145	0.4831928058
146	0.4828553279
147	0.4819403244
148	0.4807302025
149	0.4802264392
150	0.4791508545
151	0.4788757861
152	0.4782316787
153	0.4770566743
154	0.4765850383
155	0.4759206765
156	0.4753144718
157	0.4742012901
158	0.4738160089
159	0.4731263927
160	0.472526621
161	0.4716677383
162	0.4711209556
163	0.4704911243
164	0.4697592584
165	0.4691019117
166	0.4682918067
167	0.4676940762
168	0.4672026135
169	0.4668436565
170	0.466125414
