,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154
accuracy,0.8239700374531835,0.8426966292134831,0.850187265917603,0.8277153558052435,0.8277153558052435,0.8314606741573034,0.850187265917603,0.8539325842696629,0.8539325842696629,0.8539325842696629,0.850187265917603,0.8539325842696629,0.8539325842696629,0.8576779026217228,0.8539325842696629,0.8539325842696629,0.8576779026217228,0.850187265917603,0.846441947565543,0.8539325842696629,0.850187265917603,0.8539325842696629,0.8426966292134831,0.846441947565543,0.846441947565543,0.846441947565543,0.846441947565543,0.846441947565543,0.8426966292134831,0.8426966292134831,0.850187265917603,0.850187265917603,0.8539325842696629,0.846441947565543,0.846441947565543,0.846441947565543,0.8426966292134831,0.8389513108614233,0.8426966292134831,0.8389513108614233,0.8352059925093633,0.8389513108614233,0.8314606741573034,0.8352059925093633,0.8352059925093633,0.8389513108614233,0.8426966292134831,0.8426966292134831,0.8426966292134831,0.8426966292134831,0.846441947565543,0.846441947565543,0.8389513108614233,0.8352059925093633,0.8314606741573034,0.8389513108614233,0.8389513108614233,0.8352059925093633,0.8389513108614233,0.8389513108614233,0.8352059925093633,0.8426966292134831,0.8426966292134831,0.8426966292134831,0.846441947565543,0.8389513108614233,0.8389513108614233,0.8389513108614233,0.8389513108614233,0.8389513108614233,0.8389513108614233,0.8389513108614233,0.8389513108614233,0.8389513108614233,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8314606741573034,0.8314606741573034,0.8352059925093633,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8277153558052435,0.8314606741573034,0.8352059925093633,0.8314606741573034,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8389513108614233,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8352059925093633,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8352059925093633,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8314606741573034,0.8277153558052435,0.8277153558052435,0.8314606741573034,0.8277153558052435,0.8277153558052435,0.8277153558052435,0.8277153558052435,0.8277153558052435,0.8239700374531835,0.8277153558052435,0.8277153558052435,0.8239700374531835,0.8239700374531835,0.8239700374531835,0.8239700374531835,0.8239700374531835,0.8239700374531835,0.8239700374531835,0.8239700374531835,0.8239700374531835,0.8239700374531835,0.8239700374531835
f1,0.7513227513227514,0.7692307692307692,0.782608695652174,0.7500000000000001,0.7472527472527472,0.7486033519553073,0.782608695652174,0.7891891891891891,0.7891891891891891,0.7891891891891891,0.7849462365591399,0.7891891891891891,0.7891891891891891,0.7934782608695652,0.7868852459016393,0.7868852459016393,0.7912087912087913,0.7802197802197802,0.7759562841530054,0.7868852459016393,0.782608695652174,0.7868852459016393,0.7692307692307692,0.7759562841530054,0.7759562841530054,0.7759562841530054,0.7759562841530054,0.7759562841530054,0.7717391304347825,0.7717391304347825,0.7849462365591399,0.7849462365591399,0.7891891891891891,0.7759562841530054,0.7759562841530054,0.7783783783783784,0.7741935483870968,0.7650273224043717,0.7717391304347825,0.7650273224043717,0.7608695652173914,0.7650273224043717,0.7593582887700534,0.7659574468085106,0.7634408602150539,0.7675675675675676,0.7717391304347825,0.7717391304347825,0.7717391304347825,0.7717391304347825,0.7759562841530054,0.7759562841530054,0.7650273224043717,0.7608695652173914,0.7567567567567568,0.7675675675675676,0.7675675675675676,0.7582417582417582,0.7675675675675676,0.7675675675675676,0.7582417582417582,0.7692307692307692,0.7717391304347825,0.7692307692307692,0.7759562841530054,0.7650273224043717,0.7650273224043717,0.7650273224043717,0.7650273224043717,0.7650273224043717,0.7650273224043717,0.7650273224043717,0.7650273224043717,0.7650273224043717,0.7608695652173914,0.7608695652173914,0.7608695652173914,0.7567567567567568,0.7567567567567568,0.7608695652173914,0.7567567567567568,0.7567567567567568,0.7593582887700534,0.7634408602150539,0.7634408602150539,0.7634408602150539,0.7634408602150539,0.7634408602150539,0.7567567567567568,0.7593582887700534,0.7593582887700534,0.7593582887700534,0.7553191489361704,0.7619047619047619,0.7659574468085106,0.7593582887700534,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7700534759358288,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7659574468085106,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7659574468085106,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7553191489361704,0.7553191489361704,0.7619047619047619,0.7553191489361704,0.7553191489361704,0.7553191489361704,0.7553191489361704,0.7553191489361704,0.7513227513227514,0.7553191489361704,0.7553191489361704,0.7513227513227514,0.7513227513227514,0.7513227513227514,0.7513227513227514,0.7513227513227514,0.7513227513227514,0.7513227513227514,0.7513227513227514,0.7513227513227514,0.7513227513227514,0.7513227513227514
statistical_parity_difference,-0.624345206914615,-0.6973546359350445,-0.7214510214772132,-0.7214510214772132,-0.7148376113148246,-0.6961760083813515,-0.6864850707176532,-0.6985332634887376,-0.6985332634887376,-0.6985332634887376,-0.693098480880042,-0.6810502881089576,-0.6810502881089576,-0.7214510214772132,-0.7094028287061289,-0.7094028287061289,-0.6973546359350445,-0.6798716605552645,-0.6919198533263489,-0.6919198533263489,-0.7214510214772132,-0.7268858040859089,-0.6973546359350445,-0.7094028287061289,-0.7094028287061289,-0.7094028287061289,-0.7094028287061289,-0.7094028287061289,-0.7039680460974332,-0.7039680460974332,-0.693098480880042,-0.693098480880042,-0.6985332634887376,-0.6919198533263489,-0.6919198533263489,-0.6985332634887376,-0.693098480880042,-0.6744368779465688,-0.6864850707176532,-0.6744368779465688,-0.6690020953378732,-0.6744368779465688,-0.6876636982713463,-0.6822289156626506,-0.675615505500262,-0.6810502881089576,-0.6690020953378732,-0.6690020953378732,-0.6690020953378732,-0.6690020953378732,-0.6744368779465688,-0.6744368779465688,-0.656953902566789,-0.6515191199580933,-0.6460843373493976,-0.6460843373493976,-0.6460843373493976,-0.6449057097957046,-0.6460843373493976,-0.6460843373493976,-0.6449057097957046,-0.6623886851754845,-0.6515191199580933,-0.6623886851754845,-0.656953902566789,-0.6394709271870089,-0.6394709271870089,-0.6394709271870089,-0.6394709271870089,-0.6394709271870089,-0.6394709271870089,-0.6394709271870089,-0.656953902566789,-0.656953902566789,-0.6515191199580933,-0.6515191199580933,-0.6515191199580933,-0.6460843373493976,-0.6460843373493976,-0.6515191199580933,-0.6635673127291776,-0.6460843373493976,-0.6526977475117862,-0.640649554740702,-0.640649554740702,-0.640649554740702,-0.640649554740702,-0.640649554740702,-0.6286013619696176,-0.6526977475117862,-0.6526977475117862,-0.6526977475117862,-0.6297799895233107,-0.641828182294395,-0.6472629649030905,-0.6352147721320063,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6526977475117862,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.6472629649030905,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.6472629649030905,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.641828182294395,-0.6297799895233107,-0.6297799895233107,-0.641828182294395,-0.6297799895233107,-0.6297799895233107,-0.6297799895233107,-0.6297799895233107,-0.6297799895233107,-0.624345206914615,-0.6297799895233107,-0.6297799895233107,-0.624345206914615,-0.624345206914615,-0.624345206914615,-0.624345206914615,-0.624345206914615,-0.624345206914615,-0.624345206914615,-0.624345206914615,-0.624345206914615,-0.624345206914615,-0.624345206914615
equal_opportunity_difference,-0.33333333333333337,-0.45738636363636365,-0.4876893939393939,-0.5814393939393939,-0.5662878787878788,-0.5511363636363636,-0.4412878787878788,-0.4564393939393939,-0.4564393939393939,-0.4564393939393939,-0.4564393939393939,-0.4564393939393939,-0.4564393939393939,-0.5028409090909091,-0.4876893939393939,-0.4876893939393939,-0.4876893939393939,-0.4725378787878788,-0.4725378787878788,-0.4876893939393939,-0.4876893939393939,-0.4876893939393939,-0.45738636363636365,-0.4725378787878788,-0.4725378787878788,-0.4725378787878788,-0.4725378787878788,-0.4725378787878788,-0.4725378787878788,-0.4725378787878788,-0.4100378787878788,-0.4100378787878788,-0.4100378787878788,-0.42613636363636365,-0.42613636363636365,-0.39488636363636365,-0.39488636363636365,-0.4109848484848485,-0.42613636363636365,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.42613636363636365,-0.39488636363636365,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.36458333333333337,-0.36458333333333337,-0.36458333333333337,-0.3797348484848485,-0.3797348484848485,-0.39583333333333337,-0.3797348484848485,-0.3797348484848485,-0.39583333333333337,-0.4109848484848485,-0.3797348484848485,-0.4109848484848485,-0.3797348484848485,-0.36458333333333337,-0.36458333333333337,-0.36458333333333337,-0.36458333333333337,-0.36458333333333337,-0.36458333333333337,-0.36458333333333337,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.4109848484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.36458333333333337,-0.3797348484848485,-0.3797348484848485,-0.3797348484848485,-0.33333333333333337,-0.3484848484848485,-0.3484848484848485,-0.33333333333333337,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.3484848484848485,-0.33333333333333337,-0.33333333333333337,-0.3484848484848485,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337
average_abs_odds_difference,0.39518833849329205,0.47695169575007035,0.4921032109015855,0.529109789848954,0.5248235059574069,0.4911254573599775,0.43620121493573505,0.4437769725114926,0.4437769725114926,0.4437769725114926,0.4404874988272821,0.41107573412139975,0.41107573412139975,0.4702672037714607,0.4626914461957031,0.4626914461957031,0.43327968148982077,0.4224144502298527,0.45182621493573505,0.42999020780561026,0.4921032109015855,0.49539268458579605,0.47695169575007035,0.4845274533258279,0.4845274533258279,0.4845274533258279,0.4845274533258279,0.4845274533258279,0.4812379796416174,0.4812379796416174,0.4499879796416174,0.4499879796416174,0.4532774533258279,0.46132669575007035,0.46132669575007035,0.4751134604559527,0.4718239867717422,0.45046146449010227,0.45803722206585984,0.45046146449010227,0.44717199080589176,0.45046146449010227,0.4808700394033211,0.4652450394033211,0.4609587555117741,0.46424822919598463,0.43483646449010227,0.43483646449010227,0.43483646449010227,0.43483646449010227,0.4381259381743128,0.4381259381743128,0.4272607069143447,0.4239712332301342,0.4206817595459237,0.3988457524157989,0.3988457524157989,0.41018446852425183,0.3988457524157989,0.3988457524157989,0.41018446852425183,0.4210496997842199,0.4021352261000094,0.4210496997842199,0.4054246997842199,0.39455946852425183,0.39455946852425183,0.39455946852425183,0.39455946852425183,0.39455946852425183,0.39455946852425183,0.39455946852425183,0.4177602261000094,0.4177602261000094,0.4144707524157989,0.4144707524157989,0.4144707524157989,0.41118127873158833,0.41118127873158833,0.4144707524157989,0.44388251712168125,0.41118127873158833,0.4249680434374707,0.39555627873158833,0.39555627873158833,0.39555627873158833,0.39555627873158833,0.39555627873158833,0.38798052115583076,0.4249680434374707,0.4249680434374707,0.4249680434374707,0.3984778121775026,0.4060535697532602,0.4093430434374707,0.4017672858617131,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.41263251712168125,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4093430434374707,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4093430434374707,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.4060535697532602,0.3984778121775026,0.3984778121775026,0.4060535697532602,0.3984778121775026,0.3984778121775026,0.3984778121775026,0.3984778121775026,0.3984778121775026,0.39518833849329205,0.3984778121775026,0.3984778121775026,0.39518833849329205,0.39518833849329205,0.39518833849329205,0.39518833849329205,0.39518833849329205,0.39518833849329205,0.39518833849329205,0.39518833849329205,0.39518833849329205,0.39518833849329205,0.39518833849329205
disparate_impact,-1.6591413671677304,-2.0953781339426487,-2.1252310970923296,-2.1252310970923296,-2.1675744251471376,-2.1978936974682437,-1.9900176182848222,-2.005055495649363,-2.005055495649363,-2.005055495649363,-1.956265331479931,-1.9412274541153902,-1.9412274541153902,-2.1252310970923296,-2.1104160113071893,-2.1104160113071893,-2.0953781339426487,-2.026043440541584,-2.0413109126723725,-2.0413109126723725,-2.1252310970923296,-2.1823895109322784,-2.0953781339426487,-2.1104160113071893,-2.1104160113071893,-2.1104160113071893,-2.1104160113071893,-2.1104160113071893,-2.0563487900369135,-2.0563487900369135,-1.956265331479931,-1.956265331479931,-2.005055495649363,-2.0413109126723725,-2.0413109126723725,-2.005055495649363,-1.956265331479931,-1.9747501461540338,-1.9900176182848222,-1.9747501461540338,-1.9259599819846018,-1.9747501461540338,-1.909745315845038,-1.865293553274204,-1.8947074384804974,-1.9412274541153902,-1.9259599819846018,-1.9259599819846018,-1.9259599819846018,-1.9259599819846018,-1.9747501461540338,-1.9747501461540338,-1.9104557954486365,-1.8639357798137437,-1.8194840172429099,-1.8194840172429099,-1.8194840172429099,-1.8947074384804974,-1.8194840172429099,-1.8194840172429099,-1.8947074384804974,-1.9592459596180687,-1.8639357798137437,-1.9592459596180687,-1.9104557954486365,-1.8481874228456046,-1.8481874228456046,-1.8481874228456046,-1.8481874228456046,-1.8481874228456046,-1.8481874228456046,-1.8481874228456046,-1.9104557954486365,-1.9104557954486365,-1.8639357798137437,-1.8639357798137437,-1.8639357798137437,-1.8194840172429099,-1.8194840172429099,-1.8639357798137437,-1.879439966349709,-1.8194840172429099,-1.792428589360079,-1.776924402824114,-1.776924402824114,-1.776924402824114,-1.776924402824114,-1.776924402824114,-1.7611760458559749,-1.792428589360079,-1.792428589360079,-1.792428589360079,-1.6968816951505776,-1.712385881686543,-1.751606594839824,-1.736102408303859,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.792428589360079,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.751606594839824,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.751606594839824,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.712385881686543,-1.6968816951505776,-1.6968816951505776,-1.712385881686543,-1.6968816951505776,-1.6968816951505776,-1.6968816951505776,-1.6968816951505776,-1.6968816951505776,-1.6591413671677304,-1.6968816951505776,-1.6968816951505776,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304,-1.6591413671677304
theil_index,0.13320505516317482,0.13057111060426485,0.1220953918915429,0.13840473731648278,0.1415299593087699,0.14342022476071706,0.1220953918915429,0.11788418679443109,0.11788418679443109,0.11788418679443109,0.11908469574938141,0.11788418679443109,0.11788418679443109,0.11665894341656295,0.1208664649823372,0.1208664649823372,0.11961226189975979,0.12509168625201234,0.12632431679776984,0.1208664649823372,0.1220953918915429,0.1208664649823372,0.13057111060426482,0.12632431679776981,0.12632431679776981,0.12632431679776981,0.12632431679776981,0.12632431679776981,0.12753184036652288,0.12753184036652288,0.11908469574938141,0.11908469574938141,0.11788418679443109,0.12632431679776981,0.12632431679776981,0.12329939914255567,0.1244788372323382,0.13178216861320244,0.12753184036652288,0.13178216861320244,0.13296828884150283,0.13178216861320244,0.13100728471955475,0.12676537855460374,0.12987297871529496,0.1287146114906802,0.12753184036652288,0.12753184036652288,0.12753184036652288,0.12753184036652288,0.12632431679776981,0.12632431679776981,0.13178216861320244,0.13296828884150283,0.13412982383880478,0.1287146114906802,0.1287146114906802,0.1360505349565174,0.12871461149068023,0.12871461149068023,0.1360505349565174,0.13057111060426485,0.12753184036652288,0.13057111060426485,0.12632431679776981,0.13178216861320247,0.13178216861320247,0.13178216861320247,0.13178216861320247,0.13178216861320247,0.13178216861320247,0.13178216861320247,0.13178216861320247,0.13178216861320247,0.13296828884150286,0.13296828884150286,0.13296828884150286,0.13412982383880478,0.13412982383880478,0.13296828884150286,0.13412982383880478,0.13412982383880478,0.13100728471955475,0.129872978715295,0.129872978715295,0.129872978715295,0.129872978715295,0.129872978715295,0.13412982383880478,0.13100728471955475,0.13100728471955475,0.13100728471955475,0.13211786643537551,0.12787315377425215,0.12676537855460374,0.13100728471955475,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.1256340507617257,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12676537855460374,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12676537855460374,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.12787315377425218,0.13211786643537551,0.13211786643537551,0.12787315377425218,0.13211786643537551,0.13211786643537551,0.13211786643537551,0.13211786643537551,0.13211786643537551,0.13320505516317482,0.13211786643537551,0.13211786643537551,0.13320505516317482,0.13320505516317482,0.13320505516317482,0.13320505516317482,0.13320505516317482,0.13320505516317482,0.13320505516317482,0.13320505516317482,0.13320505516317482,0.13320505516317482,0.13320505516317482
