,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
accuracy,0.7798507462686567,0.7761194029850746,0.7686567164179104,0.7649253731343284,0.7798507462686567,0.7761194029850746,0.7761194029850746,0.7835820895522388,0.7873134328358209,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7873134328358209,0.7761194029850746,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7761194029850746,0.7761194029850746,0.7761194029850746,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7761194029850746,0.7761194029850746,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7761194029850746,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567,0.7798507462686567
f1,0.7093596059113301,0.7087378640776698,0.693069306930693,0.6985645933014354,0.7203791469194313,0.7222222222222222,0.7222222222222222,0.7238095238095238,0.7272727272727273,0.7058823529411765,0.7087378640776698,0.7115384615384616,0.7298578199052133,0.7058823529411765,0.7121951219512194,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7121951219512194,0.7121951219512194,0.7121951219512194,0.7093596059113301,0.7121951219512194,0.7093596059113301,0.7121951219512194,0.7121951219512194,0.7121951219512194,0.7121951219512194,0.7121951219512194,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7087378640776698,0.7087378640776698,0.7087378640776698,0.7087378640776698,0.7087378640776698,0.7087378640776698,0.7058823529411765,0.7058823529411765,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7058823529411765,0.7058823529411765,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7058823529411765,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301,0.7093596059113301
statistical_parity_difference,-0.8490566037735849,-0.8461448870253903,-0.839622641509434,-0.812019566736548,-0.8933146983461449,-0.8780573025856044,-0.8780573025856044,-0.9150943396226415,-0.9056603773584906,-0.8584905660377359,-0.8461448870253903,-0.8962264150943396,-0.8933146983461449,-0.8584905660377359,-0.8367109247612392,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8367109247612392,-0.8367109247612392,-0.8367109247612392,-0.8490566037735849,-0.8367109247612392,-0.8490566037735849,-0.8367109247612392,-0.8367109247612392,-0.8367109247612392,-0.8367109247612392,-0.8367109247612392,-0.8584905660377359,-0.8584905660377359,-0.8584905660377359,-0.8584905660377359,-0.8461448870253903,-0.8461448870253903,-0.8461448870253903,-0.8461448870253903,-0.8461448870253903,-0.8461448870253903,-0.8584905660377359,-0.8584905660377359,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8584905660377359,-0.8584905660377359,-0.8584905660377359,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8584905660377359,-0.8584905660377359,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8584905660377359,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849,-0.8490566037735849
equal_opportunity_difference,-0.935064935064935,-0.9072871572871573,-0.9090909090909091,-0.8665223665223665,-0.9462481962481962,-0.9314574314574314,-0.9314574314574314,-0.987012987012987,-0.987012987012987,-0.935064935064935,-0.9072871572871573,-0.961038961038961,-0.9592352092352092,-0.935064935064935,-0.9072871572871573,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.9072871572871573,-0.9072871572871573,-0.9072871572871573,-0.935064935064935,-0.9072871572871573,-0.935064935064935,-0.9072871572871573,-0.9072871572871573,-0.9072871572871573,-0.9072871572871573,-0.9072871572871573,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.9072871572871573,-0.9072871572871573,-0.9072871572871573,-0.9072871572871573,-0.9072871572871573,-0.9072871572871573,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935,-0.935064935064935
average_abs_odds_difference,0.7778772951186744,0.7772615315718764,0.7821316614420062,0.744974374284719,0.8312248096730855,0.8119246653729413,0.8119246653729413,0.8555754590237349,0.83833407971339,0.7951186744290193,0.7772615315718764,0.8425884460367219,0.8204769368562472,0.7951186744290193,0.7600201522615315,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7600201522615315,0.7600201522615315,0.7600201522615315,0.7778772951186744,0.7600201522615315,0.7778772951186744,0.7600201522615315,0.7600201522615315,0.7600201522615315,0.7600201522615315,0.7600201522615315,0.7951186744290193,0.7951186744290193,0.7951186744290193,0.7951186744290193,0.7772615315718764,0.7772615315718764,0.7772615315718764,0.7772615315718764,0.7772615315718764,0.7772615315718764,0.7951186744290193,0.7951186744290193,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7951186744290193,0.7951186744290193,0.7951186744290193,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7951186744290193,0.7951186744290193,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7951186744290193,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744,0.7778772951186744
disparate_impact,-inf,-4.241869567077222,-inf,-3.1322074422225272,-4.295358252028208,-3.2071087503956446,-3.2071087503956446,-inf,-inf,-inf,-4.241869567077222,-inf,-4.295358252028208,-inf,-4.230819730890637,-inf,-inf,-inf,-4.230819730890637,-4.230819730890637,-4.230819730890637,-inf,-4.230819730890637,-inf,-4.230819730890637,-4.230819730890637,-4.230819730890637,-4.230819730890637,-4.230819730890637,-inf,-inf,-inf,-inf,-4.241869567077222,-4.241869567077222,-4.241869567077222,-4.241869567077222,-4.241869567077222,-4.241869567077222,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf,-inf
theil_index,0.1915789679259584,0.18935616669425273,0.2017679062884661,0.19256499877252883,0.17814482753289224,0.1723582445349652,0.1723582445349652,0.17708242309275757,0.17599574346033892,0.19272696027474553,0.18935616669425273,0.18597478898268113,0.17266540318063972,0.19272696027474553,0.18823667166133262,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.18823667166133262,0.18823667166133262,0.18823667166133262,0.1915789679259584,0.18823667166133262,0.1915789679259584,0.18823667166133262,0.18823667166133262,0.18823667166133262,0.18823667166133262,0.18823667166133262,0.19272696027474553,0.19272696027474553,0.19272696027474553,0.19272696027474553,0.18935616669425273,0.18935616669425273,0.18935616669425273,0.18935616669425273,0.18935616669425273,0.18935616669425273,0.19272696027474553,0.19272696027474553,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.19272696027474553,0.19272696027474553,0.19272696027474553,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.19272696027474553,0.19272696027474553,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.19272696027474553,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584,0.1915789679259584
