,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99,T100,T101,T102,T103,T104,T105,T106,T107,T108,T109,T110,T111,T112,T113,T114,T115,T116,T117,T118,T119,T120,T121,T122,T123,T124,T125,T126,T127,T128,T129,T130,T131,T132,T133,T134,T135,T136,T137,T138,T139,T140,T141,T142,T143,T144,T145,T146,T147,T148,T149,T150,T151,T152,T153,T154,T155,T156,T157,T158,T159,T160,T161,T162,T163,T164,T165,T166,T167,T168,T169,T170,T171,T172,T173,T174,T175,T176,T177,T178,T179,T180,T181,T182,T183,T184,T185,T186,T187,T188,T189,T190,T191,T192,T193,T194,T195,T196,T197,T198,T199,T200,T201,T202,T203,T204,T205,T206,T207,T208,T209,T210,T211,T212,T213,T214,T215,T216,T217,T218,T219,T220,T221,T222,T223,T224,T225,T226,T227,T228,T229,T230,T231,T232,T233,T234,T235,T236,T237,T238,T239,T240,T241,T242,T243,T244,T245,T246,T247,T248,T249,T250,T251,T252,T253,T254,T255,T256,T257,T258,T259,T260,T261,T262,T263,T264,T265,T266,T267,T268,T269,T270,T271,T272,T273,T274,T275,T276,T277,T278,T279,T280,T281,T282,T283,T284,T285,T286,T287,T288,T289,T290,T291,T292,T293,T294,T295,T296,T297,T298,T299,T300,T301,T302,T303,T304,T305,T306,T307,T308,T309,T310
accuracy,0.72,0.59,0.6833333333333333,0.6866666666666666,0.73,0.74,0.6866666666666666,0.7133333333333334,0.7233333333333334,0.74,0.71,0.7233333333333334,0.7033333333333334,0.7233333333333334,0.71,0.73,0.73,0.7333333333333333,0.72,0.7,0.71,0.7066666666666667,0.71,0.72,0.7133333333333334,0.72,0.72,0.6966666666666667,0.7,0.7166666666666667,0.72,0.7233333333333334,0.7066666666666667,0.7233333333333334,0.72,0.7266666666666667,0.7066666666666667,0.6933333333333334,0.7066666666666667,0.7033333333333334,0.7366666666666667,0.7333333333333333,0.7233333333333334,0.72,0.7033333333333334,0.7166666666666667,0.7133333333333334,0.7,0.73,0.7233333333333334,0.7,0.7233333333333334,0.7,0.7233333333333334,0.7066666666666667,0.71,0.7366666666666667,0.71,0.7233333333333334,0.71,0.7233333333333334,0.6966666666666667,0.6966666666666667,0.7266666666666667,0.71,0.7066666666666667,0.6933333333333334,0.7233333333333334,0.71,0.7033333333333334,0.72,0.7333333333333333,0.7133333333333334,0.7,0.7066666666666667,0.71,0.7066666666666667,0.7133333333333334,0.7233333333333334,0.7033333333333334,0.7066666666666667,0.7233333333333334,0.7033333333333334,0.72,0.6966666666666667,0.72,0.7033333333333334,0.7166666666666667,0.72,0.7333333333333333,0.73,0.7066666666666667,0.71,0.7266666666666667,0.7033333333333334,0.72,0.7133333333333334,0.72,0.7266666666666667,0.7166666666666667,0.7333333333333333,0.7233333333333334,0.7033333333333334,0.7166666666666667,0.7,0.71,0.7233333333333334,0.7066666666666667,0.71,0.7066666666666667,0.71,0.7066666666666667,0.7233333333333334,0.7133333333333334,0.6966666666666667,0.7133333333333334,0.7166666666666667,0.72,0.73,0.7066666666666667,0.7066666666666667,0.7166666666666667,0.71,0.7033333333333334,0.7166666666666667,0.7066666666666667,0.7266666666666667,0.7066666666666667,0.72,0.7233333333333334,0.7066666666666667,0.7033333333333334,0.7033333333333334,0.72,0.73,0.7133333333333334,0.7,0.7166666666666667,0.7133333333333334,0.7133333333333334,0.7133333333333334,0.73,0.7033333333333334,0.7266666666666667,0.72,0.72,0.7166666666666667,0.7133333333333334,0.72,0.7133333333333334,0.71,0.71,0.7033333333333334,0.7233333333333334,0.7133333333333334,0.7166666666666667,0.7,0.71,0.7133333333333334,0.7233333333333334,0.7233333333333334,0.71,0.7166666666666667,0.7233333333333334,0.6966666666666667,0.71,0.7266666666666667,0.7033333333333334,0.7033333333333334,0.7166666666666667,0.7066666666666667,0.7333333333333333,0.7,0.72,0.71,0.7133333333333334,0.72,0.7166666666666667,0.71,0.7166666666666667,0.72,0.7,0.6966666666666667,0.72,0.71,0.71,0.7166666666666667,0.7266666666666667,0.7133333333333334,0.73,0.7133333333333334,0.72,0.72,0.7166666666666667,0.72,0.7233333333333334,0.72,0.7133333333333334,0.72,0.7166666666666667,0.7133333333333334,0.7133333333333334,0.7066666666666667,0.72,0.7266666666666667,0.72,0.7233333333333334,0.71,0.71,0.7333333333333333,0.7166666666666667,0.72,0.7133333333333334,0.71,0.72,0.72,0.6966666666666667,0.7233333333333334,0.7066666666666667,0.7166666666666667,0.7133333333333334,0.7133333333333334,0.7133333333333334,0.7133333333333334,0.7133333333333334,0.7266666666666667,0.72,0.7066666666666667,0.71,0.71,0.7166666666666667,0.7166666666666667,0.7233333333333334,0.7166666666666667,0.7166666666666667,0.72,0.7166666666666667,0.7233333333333334,0.7033333333333334,0.6966666666666667,0.7066666666666667,0.7366666666666667,0.7233333333333334,0.7266666666666667,0.7266666666666667,0.7133333333333334,0.72,0.7133333333333334,0.7,0.7166666666666667,0.7166666666666667,0.7133333333333334,0.71,0.7166666666666667,0.7066666666666667,0.72,0.7066666666666667,0.7133333333333334,0.7233333333333334,0.71,0.7066666666666667,0.71,0.7133333333333334,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.72,0.7166666666666667,0.7166666666666667,0.7266666666666667,0.71,0.72,0.7133333333333334,0.72,0.7233333333333334,0.7133333333333334,0.7133333333333334,0.71,0.72,0.72,0.7033333333333334,0.7066666666666667,0.71,0.7066666666666667,0.7033333333333334,0.7166666666666667,0.7133333333333334,0.7166666666666667,0.72,0.7233333333333334,0.7066666666666667,0.71,0.72,0.7066666666666667,0.7133333333333334,0.72,0.7133333333333334,0.7066666666666667,0.71,0.7233333333333334,0.72,0.71,0.72,0.7233333333333334,0.7133333333333334,0.7166666666666667,0.7033333333333334,0.7166666666666667,0.7133333333333334,0.6966666666666667,0.72
f1,0.4545454545454546,0.3692307692307692,0.3790849673202615,0.45977011494252873,0.48407643312101917,0.4507042253521127,0.426829268292683,0.4487179487179487,0.4503311258278145,0.5125,0.4458598726114649,0.47133757961783435,0.3945578231292517,0.49079754601226994,0.4458598726114649,0.4968944099378882,0.48407643312101917,0.48717948717948717,0.4545454545454546,0.40789473684210525,0.4000000000000001,0.3972602739726028,0.4458598726114649,0.47500000000000003,0.42666666666666664,0.4615384615384615,0.44736842105263164,0.380952380952381,0.45121951219512196,0.46540880503144655,0.47500000000000003,0.46451612903225803,0.42857142857142855,0.45751633986928103,0.44736842105263164,0.4675324675324675,0.42105263157894735,0.4025974025974026,0.42105263157894735,0.42580645161290326,0.49032258064516127,0.4805194805194805,0.46451612903225803,0.4615384615384615,0.4472049689440994,0.44444444444444436,0.4487179487179487,0.43037974683544306,0.48407643312101917,0.47133757961783435,0.43037974683544306,0.45751633986928103,0.39999999999999997,0.48447204968944096,0.41333333333333333,0.4081632653061224,0.5031446540880503,0.43137254901960786,0.46451612903225803,0.4387096774193548,0.4503311258278145,0.42038216560509556,0.43478260869565216,0.4675324675324675,0.423841059602649,0.4430379746835443,0.4102564102564102,0.46451612903225803,0.4458598726114649,0.42580645161290326,0.43243243243243246,0.48717948717948717,0.42666666666666664,0.41558441558441556,0.4430379746835443,0.4458598726114649,0.4430379746835443,0.4189189189189189,0.46451612903225803,0.440251572327044,0.4430379746835443,0.47133757961783435,0.41059602649006627,0.44,0.389261744966443,0.44,0.4331210191082802,0.45161290322580644,0.4683544303797469,0.4666666666666667,0.47058823529411764,0.45,0.4458598726114649,0.4675324675324675,0.4331210191082802,0.4545454545454546,0.42666666666666664,0.4545454545454546,0.47435897435897434,0.45161290322580644,0.4805194805194805,0.45751633986928103,0.41830065359477125,0.4585987261146497,0.43749999999999994,0.4387096774193548,0.45751633986928103,0.4358974358974359,0.4458598726114649,0.4430379746835443,0.423841059602649,0.42105263157894735,0.46451612903225803,0.4487179487179487,0.4052287581699347,0.45569620253164556,0.42953020134228187,0.44736842105263164,0.45637583892617445,0.41333333333333333,0.4358974358974359,0.46540880503144655,0.4458598726114649,0.41830065359477125,0.46540880503144655,0.4358974358974359,0.4605263157894737,0.42857142857142855,0.4615384615384615,0.46451612903225803,0.41333333333333333,0.42580645161290326,0.41830065359477125,0.4615384615384615,0.4774193548387097,0.4487179487179487,0.40789473684210525,0.44444444444444436,0.45569620253164556,0.4415584415584416,0.42666666666666664,0.46357615894039744,0.440251572327044,0.44594594594594594,0.4545454545454546,0.4615384615384615,0.4370860927152318,0.4415584415584416,0.4683544303797469,0.4487179487179487,0.4387096774193548,0.4387096774193548,0.41830065359477125,0.46451612903225803,0.4487179487179487,0.4370860927152318,0.39999999999999997,0.4458598726114649,0.42666666666666664,0.47133757961783435,0.4503311258278145,0.4387096774193548,0.4370860927152318,0.45751633986928103,0.4052287581699347,0.43137254901960786,0.44594594594594594,0.41059602649006627,0.4331210191082802,0.44444444444444436,0.42105263157894735,0.48717948717948717,0.4230769230769231,0.44736842105263164,0.4528301886792453,0.4415584415584416,0.4615384615384615,0.44444444444444436,0.4458598726114649,0.4585987261146497,0.4545454545454546,0.41558441558441556,0.43478260869565216,0.44736842105263164,0.43137254901960786,0.43137254901960786,0.45161290322580644,0.4675324675324675,0.4487179487179487,0.48407643312101917,0.4625,0.4545454545454546,0.4615384615384615,0.45161290322580644,0.4545454545454546,0.45751633986928103,0.4545454545454546,0.4487179487179487,0.44736842105263164,0.42953020134228187,0.42666666666666664,0.4415584415584416,0.4358974358974359,0.44736842105263164,0.4675324675324675,0.4545454545454546,0.45751633986928103,0.4528301886792453,0.4387096774193548,0.48717948717948717,0.42953020134228187,0.4545454545454546,0.410958904109589,0.43137254901960786,0.44736842105263164,0.4545454545454546,0.41290322580645156,0.45751633986928103,0.42857142857142855,0.44444444444444436,0.4415584415584416,0.4487179487179487,0.4487179487179487,0.42666666666666664,0.4487179487179487,0.4533333333333333,0.44736842105263164,0.4358974358974359,0.423841059602649,0.43137254901960786,0.4585987261146497,0.44444444444444436,0.4429530201342282,0.4585987261146497,0.44444444444444436,0.44,0.4370860927152318,0.45751633986928103,0.4331210191082802,0.42038216560509556,0.42857142857142855,0.49032258064516127,0.46451612903225803,0.4675324675324675,0.4605263157894737,0.4625,0.44736842105263164,0.4415584415584416,0.40789473684210525,0.44444444444444436,0.45161290322580644,0.42666666666666664,0.43137254901960786,0.4585987261146497,0.42105263157894735,0.44736842105263164,0.42857142857142855,0.45569620253164556,0.45751633986928103,0.4161073825503356,0.45,0.43137254901960786,0.4342105263157895,0.44444444444444436,0.44444444444444436,0.42953020134228187,0.45161290322580644,0.44,0.4585987261146497,0.44444444444444436,0.4675324675324675,0.43137254901960786,0.4545454545454546,0.4487179487179487,0.4545454545454546,0.45751633986928103,0.4487179487179487,0.4415584415584416,0.4387096774193548,0.44736842105263164,0.4545454545454546,0.41059602649006627,0.4358974358974359,0.43137254901960786,0.42105263157894735,0.41059602649006627,0.44444444444444436,0.4342105263157895,0.44444444444444436,0.4615384615384615,0.47133757961783435,0.41333333333333333,0.43137254901960786,0.4545454545454546,0.4358974358974359,0.4487179487179487,0.4615384615384615,0.42666666666666664,0.4358974358974359,0.43137254901960786,0.4503311258278145,0.4545454545454546,0.43137254901960786,0.4545454545454546,0.45751633986928103,0.4415584415584416,0.44444444444444436,0.41059602649006627,0.4585987261146497,0.4415584415584416,0.3973509933774835,0.4545454545454546
statistical_parity_difference,-0.08344030808729141,-0.0528883183568678,-0.07291399229781781,0.04492939666238771,-0.06880616174582799,-0.01874197689345314,-0.06546854942233638,-0.0736842105263158,-0.005648267008985908,-0.06957637997432609,-0.05340179717586657,-0.06880616174582799,-0.04056482670089856,-0.0857509627727856,-0.05340179717586657,-0.09550706033376122,-0.06880616174582799,-0.0736842105263158,-0.11424903722721436,-0.07779204107830551,-0.09653401797175865,-0.060847240051347895,-0.06880616174582799,-0.11578947368421055,-0.08754813863928113,-0.05827984595635438,-0.06238767650834409,-0.0713735558408215,-0.08087291399229779,-0.08985879332477542,-0.08498074454428761,-0.12477535301668796,-0.08344030808729141,-0.05750962772785628,-0.06238767650834409,-0.052631578947368474,-0.06238767650834409,-0.03722721437740695,-0.07779204107830551,-0.0785622593068036,-0.0785622593068036,-0.06803594351733,-0.10937098844672655,-0.08908857509627732,-0.09550706033376122,-0.11912708600770217,-0.05827984595635438,-0.1409499358151476,-0.037997432605905046,-0.06880616174582799,-0.0793324775353017,-0.04210526315789476,-0.010526315789473717,-0.0801026957637998,-0.08754813863928113,-0.0713735558408215,-0.05905006418485237,-0.08831835686777911,-0.0785622593068036,-0.09396662387676513,-0.051861360718870375,-0.08421052631578951,-0.11091142490372274,-0.06803594351733,-0.11347881899871626,-0.11014120667522465,-0.10449293966623885,-0.10937098844672655,-0.08421052631578951,-0.10937098844672655,-0.09730423620025674,-0.08908857509627732,-0.0721437740693196,-0.09884467265725283,-0.0793324775353017,-0.08421052631578951,-0.0793324775353017,-0.08189987163029522,-0.0785622593068036,-0.10526315789473684,-0.04852374839537876,-0.11501925545571245,-0.09807445442875473,-0.0721437740693196,-0.12323491655969188,-0.10295250320924254,-0.09961489088575104,-0.09396662387676513,-0.0793324775353017,-0.10295250320924254,-0.08831835686777911,-0.08498074454428761,-0.05340179717586657,-0.052631578947368474,-0.05340179717586657,-0.06803594351733,-0.0721437740693196,-0.06803594351733,-0.0736842105263158,-0.047753530166880664,-0.08344030808729141,-0.08831835686777911,-0.05750962772785628,-0.06880616174582799,-0.10038510911424903,-0.10937098844672655,-0.10372272143774064,-0.10449293966623885,-0.08421052631578951,-0.09473684210526323,-0.051861360718870375,-0.07779204107830551,-0.06315789473684219,-0.11989730423620015,-0.04210526315789476,-0.0793324775353017,-0.07702182284980741,-0.07779204107830551,-0.07702182284980741,-0.05673940949935807,-0.08908857509627732,-0.043645699614890954,-0.06880616174582799,-0.05750962772785628,-0.08985879332477542,-0.0736842105263158,-0.09319640564826692,-0.03722721437740695,-0.08908857509627732,-0.0785622593068036,-0.08754813863928113,-0.09396662387676513,-0.08831835686777911,-0.10449293966623885,-0.0785622593068036,-0.042875481386392855,-0.10860077021822845,-0.07291399229781781,-0.0793324775353017,-0.08344030808729141,-0.0721437740693196,-0.06726572528883179,-0.08985879332477542,-0.06649550706033369,-0.11424903722721436,-0.08908857509627732,-0.051861360718870375,-0.08344030808729141,-0.0793324775353017,-0.042875481386392855,-0.0785622593068036,-0.0785622593068036,-0.10372272143774064,-0.06315789473684219,-0.05827984595635438,-0.051861360718870375,-0.025930680359435243,-0.06880616174582799,-0.0721437740693196,-0.06880616174582799,-0.03645699614890896,-0.09396662387676513,-0.051861360718870375,-0.04210526315789476,-0.07291399229781781,-0.04210526315789476,-0.06649550706033369,-0.06726572528883179,-0.06880616174582799,-0.08831835686777911,-0.07779204107830551,-0.08908857509627732,-0.0736842105263158,-0.07779204107830551,-0.08985879332477542,-0.052631578947368474,-0.042875481386392855,-0.07291399229781781,-0.11501925545571245,-0.05340179717586657,-0.03722721437740695,-0.09884467265725283,-0.09550706033376122,-0.09319640564826692,-0.07291399229781781,-0.08831835686777911,-0.06315789473684219,-0.06803594351733,-0.05827984595635438,-0.09961489088575104,-0.08498074454428761,-0.03722721437740695,-0.05827984595635438,-0.06315789473684219,-0.03722721437740695,-0.05750962772785628,-0.06803594351733,-0.0736842105263158,-0.07779204107830551,-0.06161745827984588,-0.05673940949935807,-0.03722721437740695,-0.08908857509627732,-0.06238767650834409,-0.06803594351733,-0.06803594351733,-0.08831835686777911,-0.043645699614890954,-0.0785622593068036,-0.05827984595635438,-0.09242618741976893,-0.08344030808729141,-0.014634146341463317,-0.08831835686777911,-0.07779204107830551,-0.08344030808729141,-0.0785622593068036,-0.07291399229781781,-0.052631578947368474,-0.07291399229781781,-0.052631578947368474,-0.0736842105263158,-0.0736842105263158,-0.05673940949935807,-0.042875481386392855,-0.0721437740693196,-0.07779204107830551,-0.0736842105263158,-0.08267008985879332,-0.05750962772785628,-0.08421052631578951,-0.08831835686777911,-0.06161745827984588,-0.06880616174582799,-0.07291399229781781,-0.05673940949935807,-0.06726572528883179,-0.08831835686777911,-0.08421052631578951,-0.06880616174582799,-0.08344030808729141,-0.06315789473684219,-0.10937098844672655,-0.052631578947368474,-0.07779204107830551,-0.05417201540436456,-0.06238767650834409,-0.08344030808729141,-0.06238767650834409,-0.08831835686777911,-0.0785622593068036,-0.05673940949935807,-0.05750962772785628,-0.06880616174582799,-0.06238767650834409,-0.09319640564826692,-0.06803594351733,-0.04852374839537876,-0.07291399229781781,-0.06161745827984588,-0.08498074454428761,-0.07291399229781781,-0.06238767650834409,-0.07291399229781781,-0.07291399229781781,-0.06161745827984588,-0.06315789473684219,-0.11835686777920407,-0.08421052631578951,-0.05750962772785628,-0.09884467265725283,-0.05750962772785628,-0.08344030808729141,-0.10449293966623885,-0.06803594351733,-0.07291399229781781,-0.042875481386392855,-0.06803594351733,-0.09396662387676513,-0.06238767650834409,-0.08344030808729141,-0.08267008985879332,-0.08908857509627732,-0.05750962772785628,-0.07779204107830551,-0.021052631578947434,-0.08831835686777911,-0.06238767650834409,-0.05750962772785628,-0.05827984595635438,-0.09961489088575104,-0.04133504492939677,-0.05750962772785628,-0.09884467265725283,-0.08908857509627732,-0.05827984595635438,-0.0736842105263158,-0.10295250320924254,-0.0736842105263158,-0.05750962772785628,-0.051861360718870375,-0.052631578947368474,-0.08831835686777911,-0.03722721437740695,-0.07291399229781781,-0.03722721437740695,-0.02670089858793334,-0.06726572528883179,-0.05340179717586657,-0.06803594351733,-0.06726572528883179,-0.08344030808729141
equal_opportunity_difference,-0.0356321839080459,-0.17868338557993735,-0.08934169278996862,0.0016718913270636904,-0.05768025078369898,-0.009508881922675072,-0.03281086729362592,-0.04388714733542309,0.01671891327063746,0.008463949843260155,-0.08108672936259143,-0.05078369905956104,-0.042528735632183845,-0.05214211076280051,-0.05903866248693834,-0.08798328108672937,-0.0356321839080459,-0.020480668756530762,-0.05768025078369898,-0.04388714733542309,-0.056321839080459735,-0.04942528735632179,-0.014942528735632177,-0.08108672936259143,-0.06457680250783693,-0.07283176593521423,-0.042528735632183845,-0.0356321839080459,-0.09070010449320798,-0.05903866248693834,-0.08108672936259143,-0.10177638453500526,-0.06593521421107629,-0.042528735632183845,-0.020480668756530762,-0.042528735632183845,-0.05078369905956104,-0.05214211076280051,-0.05078369905956104,-0.03699059561128526,-0.027377220480668707,-0.04942528735632179,-0.07972831765935218,-0.07283176593521423,-0.0603970741901777,-0.07972831765935218,-0.02183908045977012,-0.1113897596656217,-0.0356321839080459,-0.028735632183907955,-0.06729362591431565,0.0015673981191223207,0.0153605015673981,-0.05903866248693834,-0.05768025078369898,-0.04942528735632179,-0.013584117032392817,-0.07283176593521423,-0.07972831765935218,-0.04388714733542309,-0.027377220480668707,-0.045245559038662564,-0.09759665621734592,-0.06457680250783693,-0.07972831765935218,-0.07419017763845348,-0.1113897596656217,-0.05768025078369898,-0.05903866248693834,-0.05903866248693834,-0.056321839080459735,-0.042528735632183845,-0.020480668756530762,-0.05903866248693834,-0.07419017763845348,-0.05903866248693834,-0.09623824451410656,-0.027377220480668707,-0.05768025078369898,-0.08934169278996862,-0.008045977011494232,-0.07283176593521423,-0.07283176593521423,-0.005329153605015624,-0.07283176593521423,-0.07147335423197487,-0.07419017763845348,-0.05078369905956104,-0.04388714733542309,-0.06321839080459768,-0.07147335423197487,-0.08934169278996862,-0.03699059561128526,-0.020480668756530762,-0.030094043887147315,-0.0356321839080459,-0.042528735632183845,-0.0356321839080459,-0.05768025078369898,-0.0066875653082549835,-0.04942528735632179,-0.06457680250783693,-0.02183908045977012,-0.04388714733542309,-0.10449320794148376,-0.04388714733542309,-0.06457680250783693,-0.05903866248693834,-0.03699059561128526,-0.05214211076280051,-0.0356321839080459,-0.028735632183907955,-0.0356321839080459,-0.11003134796238245,-0.014942528735632177,-0.05903866248693834,-0.04942528735632179,-0.020480668756530762,-0.0411703239289446,-0.013584117032392817,-0.05903866248693834,-0.03699059561128526,-0.03699059561128526,-0.02183908045977012,-0.03699059561128526,-0.08108672936259143,-0.04942528735632179,0.0002089864158829613,-0.05078369905956104,-0.013584117032392817,-0.0356321839080459,-0.05903866248693834,-0.04388714733542309,-0.09487983281086732,-0.020480668756530762,-0.02183908045977012,-0.11003134796238245,-0.0356321839080459,-0.03699059561128526,-0.05078369905956104,-0.042528735632183845,-0.03427377220480665,-0.02319749216300937,-0.019122257053291514,-0.07972831765935218,-0.07283176593521423,-0.020480668756530762,-0.05078369905956104,-0.06593521421107629,-0.02183908045977012,-0.04388714733542309,-0.06593521421107629,-0.06593521421107629,-0.0356321839080459,-0.02183908045977012,-0.020480668756530762,-0.0066875653082549835,-0.05903866248693834,-0.042528735632183845,-0.028735632183907955,-0.005329153605015624,-0.04388714733542309,-0.020480668756530762,-0.020480668756530762,-0.03699059561128526,-0.0066875653082549835,-0.019122257053291514,-0.05078369905956104,-0.05214211076280051,-0.05768025078369898,-0.05078369905956104,-0.06457680250783693,-0.05214211076280051,-0.06457680250783693,-0.030094043887147315,-0.028735632183907955,-0.0066875653082549835,-0.0356321839080459,-0.08108672936259143,-0.02183908045977012,0.008463949843260155,-0.05903866248693834,-0.07554858934169284,-0.042528735632183845,-0.07283176593521423,-0.05078369905956104,-0.028735632183907955,-0.020480668756530762,-0.04388714733542309,-0.05768025078369898,-0.05214211076280051,0.008463949843260155,-0.0066875653082549835,-0.028735632183907955,-0.013584117032392817,-0.020480668756530762,-0.013584117032392817,-0.04388714733542309,-0.042528735632183845,-0.027377220480668707,-0.020480668756530762,-0.0066875653082549835,-0.05903866248693834,-0.020480668756530762,-0.020480668756530762,-0.0356321839080459,-0.06457680250783693,-0.008045977011494232,-0.04388714733542309,0.0015673981191223207,-0.04942528735632179,-0.0356321839080459,0.009822361546499514,-0.028735632183907955,-0.042528735632183845,-0.0356321839080459,-0.05214211076280051,-0.042528735632183845,-0.02183908045977012,-0.013584117032392817,-0.0066875653082549835,-0.04388714733542309,-0.04388714733542309,-0.042528735632183845,-0.02183908045977012,-0.03427377220480665,-0.042528735632183845,-0.03699059561128526,-0.0356321839080459,-0.0066875653082549835,-0.02183908045977012,-0.0356321839080459,-0.03427377220480665,-0.04388714733542309,-0.0356321839080459,-0.027377220480668707,-0.020480668756530762,-0.042528735632183845,-0.05214211076280051,-0.045245559038662564,-0.04388714733542309,-0.005329153605015624,-0.05768025078369898,-0.020480668756530762,-0.027377220480668707,-0.030094043887147315,-0.042528735632183845,-0.05078369905956104,-0.02183908045977012,-0.0356321839080459,-0.028735632183907955,-0.020480668756530762,-0.028735632183907955,-0.04388714733542309,-0.028735632183907955,-0.042528735632183845,-0.04388714733542309,-0.014942528735632177,-0.042528735632183845,-0.042528735632183845,-0.045245559038662564,-0.028735632183907955,-0.013584117032392817,-0.0356321839080459,-0.0356321839080459,-0.027377220480668707,-0.028735632183907955,-0.07147335423197487,-0.04388714733542309,-0.05768025078369898,-0.06457680250783693,-0.0066875653082549835,-0.0356321839080459,-0.06593521421107629,-0.0356321839080459,-0.06457680250783693,-0.02183908045977012,-0.05078369905956104,-0.04388714733542309,-0.020480668756530762,-0.05768025078369898,-0.05078369905956104,-0.05903866248693834,-0.028735632183907955,-0.05078369905956104,-0.0066875653082549835,-0.05768025078369898,-0.0356321839080459,-0.013584117032392817,-0.05078369905956104,-0.05078369905956104,-0.013584117032392817,-0.028735632183907955,-0.05768025078369898,-0.05903866248693834,-0.02183908045977012,-0.05078369905956104,-0.042528735632183845,-0.03699059561128526,-0.0066875653082549835,-0.005329153605015624,-0.013584117032392817,-0.05078369905956104,0.008463949843260155,-0.020480668756530762,-0.0066875653082549835,0.008463949843260155,-0.028735632183907955,-0.02183908045977012,-0.028735632183907955,-0.04388714733542309,-0.0356321839080459
