,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28
accuracy,0.6866666666666666,0.63,0.5533333333333333,0.6333333333333333,0.6166666666666667,0.6366666666666667,0.6166666666666667,0.6633333333333333,0.6666666666666666,0.6666666666666666,0.68,0.69,0.6366666666666667,0.6833333333333333,0.6666666666666666,0.6733333333333333,0.67,0.68,0.66,0.6766666666666666,0.6833333333333333,0.68,0.7,0.6666666666666666,0.67,0.67,0.6766666666666666,0.69,0.68,0.6866666666666666
f1,0.7974137931034482,0.7388235294117648,0.6455026455026455,0.7522522522522522,0.7215496368038741,0.7528344671201814,0.7268408551068883,0.7770419426048565,0.7685185185185186,0.7695852534562212,0.7828054298642534,0.7991360691144709,0.7482678983833718,0.7893569844789358,0.7767857142857144,0.7869565217391303,0.7755102040816326,0.7922077922077921,0.7702702702702703,0.7904967602591794,0.7884187082405345,0.7948717948717949,0.7999999999999999,0.7816593886462881,0.7843137254901961,0.7843137254901961,0.7886710239651415,0.7982646420824295,0.7885462555066078,0.7974137931034482
statistical_parity_difference,0.007114781829941741,-0.03572317030698047,-0.12791681178168068,-0.02671774715159958,-0.13960893576794864,-0.11612518035723174,-0.06040101497586936,-0.08686999353201652,-0.11567739688541712,-0.051097069505945614,-0.061445843076770035,-0.03263843972336933,-0.031145828150654253,-0.12159808945718698,-0.061744365391313005,-0.062341410020398946,-0.05642071744862931,-0.05746554554952976,-0.1312005572416538,-0.04756455545051996,-0.08169560674660425,-0.01298572068262105,-0.10164684810189561,-0.06721727449126813,-0.07224240011940886,-0.08716851584655949,-0.07224240011940886,-0.1270709985571421,-0.07696900343300661,0.007114781829941741
equal_opportunity_difference,0.052659019812304475,-0.06673618352450472,-0.091866527632951,-0.010218978102189746,-0.05151199165797704,-0.024504692387904092,-0.015954118873826917,-0.07591240875912408,-0.11084462982273202,0.01136600625651718,-0.010844629822731933,-0.033680917622523454,-0.016892596454640252,-0.13368091762252343,-0.018143899895724624,-0.026068821689259725,0.025338894681960378,0.0025026068821688563,-0.08258602711157448,0.0025026068821688563,-0.08321167883211678,0.023774765380604745,-0.08352450469238792,-0.03305526590198127,-0.04035453597497396,-0.018769551616267033,-0.04765380604796665,-0.09113660062565165,-0.011470281543274341,0.052659019812304475
average_abs_odds_difference,0.07471660668034574,0.04949712402031686,0.15077197349389487,0.03736755356722388,0.19511083453866596,0.17354266877459723,0.08862222072723608,0.09440781728278785,0.11993844394362407,0.10245719667664571,0.09413199233072084,0.03296949106932623,0.040704362743449185,0.11522755558545528,0.08971711123818488,0.08561505600592023,0.13363718927646406,0.09802549698947155,0.1622607554912711,0.08189646473140705,0.0819284200612197,0.060274479464495934,0.11434289750748428,0.089108278112281,0.09275791314877735,0.1303525177436174,0.08834303205624139,0.1504070099902452,0.11863836657808874,0.07471660668034574
disparate_impact,0.008293989487554868,-0.04956840185418795,-0.234016438739397,-0.03401106764740685,-0.21107775160300277,-0.15288601588221398,-0.08591460864899667,-0.10790898518615671,-0.15855379228896826,-0.06830885338200508,-0.07950139381428364,-0.03849337008690649,-0.041631119758873715,-0.1535490359628591,-0.07787669808728158,-0.07486101425778122,-0.07323178080068812,-0.06838803935029278,-0.17112360343199487,-0.05626667881794814,-0.1030701401869791,-0.014962872676712377,-0.12829155798371553,-0.08145261394554516,-0.08728353425633836,-0.10565943414752448,-0.08728353425633836,-0.1541600028369123,-0.09500558035024881,0.008293989487554868
theil_index,0.13102987446026196,0.23589938893456605,0.38513800671774345,0.1987522604332277,0.26761575271646365,0.2021036999551328,0.2523873525683958,0.16403784007336839,0.19893664944229314,0.1953916715724083,0.172812312581305,0.13073605285352236,0.21671939416500238,0.1551993301611473,0.17073047028738297,0.14582113890666218,0.18090653847011923,0.13839951787204902,0.18194869241965322,0.13868043314647302,0.15863443080962092,0.1281919939630815,0.14660150740297623,0.15329545100557046,0.14955166342377507,0.1495516634237751,0.14553341889878987,0.13411361770182695,0.1520957292699721,0.13102987446026196
