,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49,T50,T51,T52,T53,T54,T55,T56,T57,T58,T59,T60,T61,T62,T63,T64,T65,T66,T67,T68,T69,T70,T71,T72,T73,T74,T75,T76,T77,T78,T79,T80,T81,T82,T83,T84,T85,T86,T87,T88,T89,T90,T91,T92,T93,T94,T95,T96,T97,T98,T99
accuracy,0.8888079630978393,0.8413854495427693,0.8770737233956462,0.8689811442906854,0.8803916808286801,0.8745650238731083,0.8824148256049202,0.8785303876345392,0.8837905640527636,0.8794205713360848,0.8833050093064659,0.8812818645302258,0.8852472282916566,0.8836287124706644,0.8848425993364085,0.8849235251274581,0.8857327830379542,0.884761673545359,0.8854900056648054,0.8853281540827062,0.8872703730678967,0.8856518572469045,0.8867038925305495,0.8856518572469045,0.8876750020231448,0.8856518572469045,0.8873512988589464,0.8858137088290038,0.8871085214857976,0.886784818321599,0.8890507404709881,0.8874322246499959,0.8888079630978393,0.8884033341425912,0.8887270373067897,0.8880796309783928,0.8883224083515416,0.8875940762320952,0.8874322246499959,0.8870275956947479,0.8881605567694424,0.8873512988589464,0.8873512988589464,0.8864611151574007,0.8873512988589464,0.8866229667394999,0.8871085214857976,0.8865420409484502,0.8875131504410455,0.8871894472768471,0.8875131504410455,0.8871894472768471,0.8873512988589464,0.8865420409484502,0.8877559278141944,0.8870275956947479,0.8875131504410455,0.8877559278141944,0.8881605567694424,0.8877559278141944,0.8879987051873433,0.8884033341425912,0.8888888888888888,0.8884033341425912,0.8875131504410455,0.8876750020231448,0.887836853605244,0.8879987051873433,0.8880796309783928,0.8883224083515416,0.8888888888888888,0.8884033341425912,0.8882414825604921,0.8884033341425912,0.8885651857246905,0.8882414825604921,0.8884033341425912,0.8884033341425912,0.8889698146799385,0.88864611151574,0.88864611151574,0.8884033341425912,0.8880796309783928,0.8881605567694424,0.8888079630978393,0.8884033341425912,0.88864611151574,0.8888888888888888,0.8888079630978393,0.88864611151574,0.8887270373067897,0.8885651857246905,0.8890507404709881,0.8888079630978393,0.8885651857246905,0.8887270373067897,0.8888888888888888,0.8884842599336409,0.8885651857246905,0.8884842599336409,0.8888079630978393
f1,0.37602179836512256,0.30397727272727276,0.2564855604503182,0.34052953156822807,0.3028301886792453,0.3557772236076476,0.3251277287505806,0.36209094772630684,0.3364140480591497,0.3583118001722653,0.3360957642725598,0.3540290620871863,0.3495412844036697,0.363716814159292,0.347546996790463,0.36743772241992884,0.3493087557603687,0.3648528099910794,0.3488265071329959,0.3619990995047276,0.3583602026715799,0.3632266786840919,0.35602575896964117,0.36207674943566587,0.36036866359447,0.36494382022471916,0.3638025594149908,0.3652721547458389,0.3621399176954733,0.36839729119638825,0.3713892709766162,0.3720090293453725,0.3726027397260274,0.3751699139102854,0.37243267914194433,0.37562076749435663,0.37158469945355194,0.37404236142406494,0.36858828869723104,0.37173717371737175,0.3701002734731084,0.37297297297297294,0.36899365367180414,0.36773321315908064,0.3684210526315789,0.3697705802968961,0.3696339810212381,0.3696043165467626,0.368755676657584,0.374326750448833,0.368755676657584,0.37488789237668163,0.3707052441229656,0.3724261414503133,0.3721140787686736,0.3739910313901345,0.368755676657584,0.3760683760683761,0.37352674524025387,0.37718904355635385,0.370336669699727,0.37910850968032417,0.3767589650476623,0.38022471910112354,0.3716094032549728,0.37813620071684584,0.3745487364620939,0.3765765765765766,0.3727891156462585,0.3772563176895307,0.3739170086639307,0.37798827244023453,0.3731275533363595,0.3768639855399909,0.37380627557980906,0.37652370203160274,0.37403540626418524,0.37910850968032417,0.37693006357856496,0.37962128043282234,0.3745454545454546,0.37854889589905366,0.3733574988672407,0.37579042457091233,0.37374658158614404,0.376300316598824,0.37397634212920833,0.3790140208050656,0.37488626023657873,0.3768115942028985,0.3758511121198366,0.37720488466757124,0.3776668179754879,0.3782805429864253,0.3755102040816327,0.37754640108646453,0.3767589650476623,0.3775971093044264,0.37380627557980906,0.3787195671776375,0.37602179836512256
statistical_parity_difference,0.08937003838124191,0.1235711750480041,0.08553246532791603,0.11265230695293503,0.045093550143626523,0.11331146785653662,0.06619276157554888,0.10068159221528768,0.07209076359050898,0.09303730982987476,0.09526363129316787,0.09726756862217735,0.09460006128653217,0.1049903881553856,0.09792232042274479,0.10939094855238124,0.10223993456891098,0.10648342067031592,0.0951806850423384,0.0980096757766084,0.07491534522174481,0.0811495413430569,0.07807171185629852,0.09169694250750099,0.07840349685961637,0.08746227461216427,0.08372087511877023,0.09443857788790737,0.08380382136959968,0.09850735328158518,0.08430149887457647,0.0882917371204589,0.07674457184302712,0.07873969096596833,0.06644600943107137,0.07126571018524847,0.07284168895100826,0.0743391305689727,0.06545065442111783,0.07409029181648431,0.066197170678583,0.06744577354405908,0.07201222644271363,0.06752871979488853,0.06196250278324629,0.06719693479157068,0.06802639729986532,0.0705191939277833,0.07234401144603148,0.0838082304726338,0.07915442222011564,0.08364233797097488,0.0851353704859052,0.08331055296765703,0.07857379846430941,0.08023713258393281,0.08255962760715775,0.09443857788790737,0.09244345876496614,0.09410679288458951,0.0828914126104756,0.0911992650025242,0.08928709213041246,0.08746227461216427,0.0885405758729473,0.08688165085635804,0.08820879086962943,0.08787700586631159,0.08571599424171145,0.08480358548258736,0.086711349251665,0.08812584461879998,0.08588188674337037,0.08845762962211783,0.08621367174668822,0.09169694250750099,0.08588188674337037,0.08779405961548213,0.08596483299419984,0.0914481037550126,0.08953593088290084,0.09477036289122522,0.0889553071270946,0.09518509414537253,0.08662840300083553,0.09543393289786091,0.08970182338455976,0.09543393289786091,0.08629661799751769,0.09227756626330721,0.09609750290449662,0.09543393289786091,0.09269229751745453,0.09892208453573248,0.0993368157898798,0.10581544156064611,0.09609750290449662,0.10199550491945672,0.09302408252077238,0.09825851452909679,0.08937003838124191
equal_opportunity_difference,-0.003738401945770631,0.07325466174218537,0.04999549590127014,0.005729213584361792,-0.057832627691198984,0.035663453742906026,-0.05497702909647778,0.04972524997747951,-0.015575173407801068,0.007260607152508813,0.008719935140978297,0.017980362129537908,0.008999189262228646,0.02361949373930272,0.010530582830375612,0.04714890550400863,0.03559138816322854,0.03768128997387621,-0.001999819836050798,0.017980362129537908,-0.047247995676065246,-0.020376542653815,-0.03318619944149176,0.006215656247184953,-0.0362489865777858,-0.010143230339609066,-0.016548058733447446,0.0023871723268173994,-0.015016665165300425,0.025916584091523254,0.015683271777317376,0.022853796955229266,-0.011674623907756088,-0.003738401945770631,-0.03673542924060891,-0.017800198180344118,-0.011674623907756088,-0.0045040987298441415,-0.03520403567246194,-0.015503107828123586,-0.03520403567246194,-0.04132960994504997,-0.04850013512296186,-0.04926583190703537,-0.04773443833888835,-0.03903251959282944,-0.03750112602468242,-0.03903251959282944,-0.03520403567246194,-0.006035492297991163,-0.022673633006035532,-0.01933159174849114,-0.013206017475903054,-0.005269795513917652,-0.02650211692640303,-0.01856589496441763,-0.010143230339609066,0.018259616250788202,0.010323394288802856,0.01672822268264118,-0.010908927123682577,0.00343212323214126,0.008026303936582324,0.0019007296639942384,-0.0014413115935500986,-0.009863976218358717,-0.0045040987298441415,0.005729213584361792,-0.0014413115935500986,-0.006801189082064674,-0.0006756148094765879,0.004963516800288281,-0.0014413115935500986,0.006494910368435303,-0.0014413115935500986,0.006494910368435303,-0.0022070083776236094,0.00343212323214126,-0.0045040987298441415,0.01596252589856767,-0.0022070083776236094,0.01672822268264118,-0.0022070083776236094,0.019791009818935223,0.011854787856949822,0.019791009818935223,-0.0014413115935500986,0.01749391946671469,-0.014737411044050075,-0.005269795513917652,-0.003738401945770631,-0.006035492297991163,-0.005269795513917652,0.005729213584361792,0.008792000720655835,0.019025313034861713,0.008026303936582324,0.018259616250788202,-0.0014413115935500986,0.01672822268264118,-0.003738401945770631
average_abs_odds_difference,0.032991939990973176,0.08234696911398673,0.05644606836407176,0.05074186777409305,0.04772079274310165,0.05900786812898963,0.05791357914772209,0.05424290061320143,0.03362953330166109,0.03634864982948438,0.04168296498650982,0.04342945755055706,0.03983335862766901,0.0495405823563008,0.042820846970743356,0.05959512458662963,0.05350155110142478,0.05495434007737737,0.03892755849683677,0.04339371250318411,0.05502580662356234,0.040008684763600005,0.047762350366740716,0.03538259125882073,0.04966583695814355,0.0371138201654979,0.039303745128997626,0.03569014085763782,0.03849153671701713,0.04555863657633871,0.03243853511346489,0.037129310191654254,0.030155141411242384,0.02567540252327291,0.04027770600704003,0.030065904430396004,0.027514745201078734,0.023185296565611132,0.03886084643226887,0.03081356941793776,0.03927945108343166,0.043866355360121886,0.05249985222987025,0.049963234644301496,0.0450795361375751,0.042438740416569753,0.04204513665575206,0.04475355523138458,0.04363001094561943,0.030709391282501178,0.03972613605512801,0.039672255822565984,0.03707458496534171,0.030000961495115584,0.04154735475949781,0.03688156935990046,0.033460934721914776,0.03946184946906335,0.03600536639504742,0.03860312942917589,0.03407634125348642,0.032280661099274764,0.03277456454365722,0.029060614616665505,0.031238743652072208,0.03503147131331373,0.03277013722021923,0.030974856576849282,0.02920299860469925,0.03169689083732863,0.02933177811963924,0.030778054696440436,0.029296021860513204,0.031636774736327894,0.02948206837214111,0.033905077923235744,0.029725381880456935,0.02991933465655297,0.03105997356819511,0.0363240708734871,0.032226243206899666,0.03897522245243171,0.03190066181155082,0.040553127648485704,0.03251352657274709,0.04069266253220663,0.031889906442769886,0.03968365223981729,0.03858446779592685,0.03593291670614056,0.037668081248509774,0.03858406828508516,0.03616547484567545,0.03852395218408443,0.040101857380138425,0.047533328352056176,0.03749721742910081,0.044603107005669725,0.0342047212575847,0.04138306052306047,0.032991939990973176
disparate_impact,0.8789730382200147,0.7420688991265508,0.9886825830901682,0.8550020989699989,0.5759755772802294,0.8868470946509207,0.743002242898125,0.8481542949320987,0.7819412277847405,0.8211728550494222,0.9418460486529986,0.880804780194958,0.9310058341001337,0.9358120992788801,0.9520592432979661,0.9709001199306112,0.9889832395256456,0.9580902483726083,0.9404845780546774,0.9214526238283963,0.7984816213135617,0.8099880891253091,0.819876468544737,0.8849147268998669,0.8252892016514873,0.8493507821886715,0.8503318816758234,0.8969994661149387,0.8516607855258771,0.9291647443147354,0.859671509271956,0.862122347868159,0.7985138404033753,0.801128542663596,0.719135763825416,0.7406468462709603,0.7652117530952431,0.7609203014116175,0.70349007309968,0.7571107729949497,0.7152013325205816,0.7083206088255177,0.7522076686720364,0.7095888398135128,0.6749306059304945,0.7045255378569661,0.717232189126081,0.7292181504473377,0.7573890274140338,0.8223085735133495,0.8076178581033456,0.8197865040806396,0.8427174451445568,0.8147613678779668,0.7985445618976712,0.7960549948213852,0.8319103081084607,0.8969994661149387,0.8965653441198419,0.8919103966074673,0.8371390781912598,0.877222381276711,0.8776667023059596,0.8493507821886715,0.8659858426932038,0.8405067573922189,0.8608378261758024,0.8557161760557475,0.8517789958221316,0.8375760456441381,0.8675067118903267,0.8595549523629133,0.8543831639605192,0.8646963518633318,0.8596119340433184,0.8849147268998669,0.8543831639605192,0.8544398516961429,0.8556877955871842,0.8810611575838768,0.8815908407620937,0.9021145667817092,0.8724583571988211,0.9085454571119995,0.8661865796854038,0.9124239364405702,0.8842155141848647,0.9124239364405702,0.8609234096411293,0.8939645624197846,0.9228406972988262,0.9124239364405702,0.9004792434409783,0.9356372588203526,0.9421519398415464,0.9795463069145253,0.9228406972988262,0.9519514323981798,0.9057217194058282,0.9253012494896907,0.8789730382200147
theil_index,0.0948058958849224,0.10879579902918178,0.10820304606288128,0.10126191372677491,0.10342454473036722,0.09882108232551964,0.10094353141819029,0.09762904429545283,0.09960613131912034,0.09794665735362416,0.09971806923670815,0.09817105040498965,0.09806040659083848,0.0968093544719414,0.0983250139543136,0.09623670522528009,0.09800817621534542,0.09653612583049531,0.09809473228477039,0.09676180511199689,0.09685681363145474,0.09658727115760855,0.09717961966849951,0.09670826817783854,0.09659178350922036,0.09640571388427435,0.09628668373491094,0.09634873870705167,0.09649355967823194,0.09588519264536703,0.09525903459151017,0.09541486376966901,0.09516602322601511,0.09494990812578279,0.0951949353050652,0.09494453489397098,0.09533931372106984,0.09517676307439348,0.09577633867037202,0.09549764595380468,0.09551718278890367,0.09532292681686648,0.09574483418256957,0.09599955945626894,0.09580507327358274,0.09576122626379016,0.09571033479652995,0.09578976965174936,0.0957475919780666,0.09519910676436606,0.0957475919780666,0.095138747987921,0.09556406675174307,0.0954875778386015,0.09536035464398802,0.0952561808012306,0.0957475919780666,0.09493870884322402,0.09515647395800465,0.09481816373193938,0.09551473223851,0.09452887930144432,0.09471702051363241,0.09440851014367792,0.09544645460606394,0.09472614219803235,0.09509079668425988,0.09485279731754645,0.09524538562113531,0.09473807994408859,0.09501711898394663,0.09464921509432252,0.09518782858329447,0.0947695174493159,0.09507256930709955,0.09482695267504648,0.09507012656587896,0.09452887930144432,0.09468818387327939,0.09444280581695723,0.09498367028025963,0.09458905137305387,0.09518523224072419,0.0949158332885917,0.09504601468248176,0.09482965606476006,0.09504372421638484,0.09447678969081133,0.09492597221085354,0.09474337015203751,0.09483472253104792,0.09471203394011046,0.0945993184962169,0.0945656419646823,0.09489233951898253,0.09465450211795956,0.09471702051363241,0.09468064890295763,0.09507256930709955,0.09456035812435315,0.0948058958849224
