,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
accuracy,0.8939062879339645,0.8782876102613904,0.88864611151574,0.8858946346200534,0.8901837015456826,0.8843570445901109,0.8888079630978393,0.886784818321599,0.890912033665129,0.8897790725904345,0.8926114752771709,0.8913975884114267,0.89277332685927,0.8911548110382779,0.8930161042324188,0.8913166626203771,0.8922068463219228,0.8910738852472283,0.8925305494861212,0.8925305494861212,0.893825362142915,0.8930161042324188,0.8936635105608157,0.8930970300234685,0.8934207331876669,0.8935825847697662,0.8939872137250141,0.8935825847697662,0.894634620053411,0.8932588816055677,0.8935016589787165,0.8931779558145181,0.8925305494861212,0.8930970300234685,0.8932588816055677,0.8926114752771709,0.8936635105608157,0.8937444363518653,0.8933398073966173,0.8941490653071134,0.894229991098163,0.8936635105608157,0.8940681395160638,0.8935825847697662,0.8940681395160638,0.8937444363518653,0.8941490653071134,0.8935825847697662,0.893825362142915,0.8940681395160638,0.8939062879339645
f1,0.4876905041031653,0.4589928057553957,0.38185085354896675,0.4659090909090909,0.42670046472327844,0.45932652289065456,0.4419171405361495,0.46907020872865274,0.4573268921095008,0.4805491990846682,0.4711040255081706,0.48463901689708144,0.47483154974237024,0.4836852207293666,0.48075412411626084,0.4852433882713683,0.47764705882352937,0.4815100154083205,0.4779874213836478,0.4876543209876543,0.48387096774193544,0.48759689922480615,0.48510971786833856,0.48818287485470746,0.48454011741682973,0.49247394828251645,0.48627450980392156,0.4912959381044487,0.49140625,0.49053688682889146,0.4855355746677092,0.4879751745539177,0.47962382445141066,0.4869902912621359,0.4849668098399063,0.48425961912164794,0.4859154929577465,0.48970073843762146,0.4839467501957713,0.49380804953560375,0.490448343079922,0.4918793503480278,0.4896686159844054,0.4912959381044487,0.49085958770906263,0.4912824486633088,0.4890625,0.4909020518776616,0.4886983632112237,0.4920450135816841,0.4876905041031653
statistical_parity_difference,0.18298433100203618,0.12374746661405593,0.053252079335216876,0.14707491270615178,0.1085778300528719,0.15265732952094344,0.11816080192343817,0.15915610754866416,0.1338250800252607,0.15149057962737633,0.14340710792342118,0.1646547468124412,0.15390549703451067,0.16165527449301603,0.1607379693076812,0.16715438574299596,0.15457241353920742,0.15074035755786785,0.14340757990962408,0.1539897465717282,0.1581550248123147,0.16082174685869582,0.15732196916419738,0.17531927506695122,0.16873671948821592,0.17740238617344734,0.18081791433072825,0.1749860528077043,0.17998485868261097,0.18048516405768428,0.177235303057621,0.1755691917613864,0.17481896969187793,0.16998677494659475,0.17406921960857238,0.1789018863400585,0.17740191418724446,0.1789018863400585,0.17756852531686793,0.18381785863635636,0.17956833085855234,0.177818913997506,0.1737359973493255,0.18373455307154463,0.17906849746968195,0.18698394208540497,0.1887333589464513,0.18098499744655466,0.1853173588029675,0.1873171643446519,0.18298433100203618
equal_opportunity_difference,0.11570881226053642,0.009961685823754785,-0.05249042145593874,0.06321839080459768,0.028735632183908066,0.05747126436781608,0.08199233716475096,0.10842911877394629,0.08735632183908043,0.08735632183908043,0.10536398467432956,0.1103448275862069,0.13486590038314178,0.07547892720306515,0.07739463601532565,0.0850574712643678,0.05593869731800766,0.05555555555555558,0.0685823754789272,0.06206896551724134,0.09885057471264369,0.08812260536398464,0.08390804597701151,0.08735632183908043,0.10766283524904208,0.128735632183908,0.14252873563218388,0.11915708812260534,0.13563218390804593,0.11915708812260534,0.12988505747126433,0.11187739463601537,0.13678160919540228,0.11340996168582379,0.11800766283524905,0.1283524904214559,0.12988505747126433,0.12298850574712644,0.13218390804597702,0.128735632183908,0.13563218390804593,0.11839080459770113,0.12452107279693486,0.10727969348659006,0.1103448275862069,0.10804597701149427,0.12605363984674328,0.09616858237547887,0.11340996168582379,0.11992337164750955,0.11570881226053642
average_abs_odds_difference,0.12222060786832198,0.04798599921624044,0.04428108132033133,0.08203002645967708,0.05097956723461084,0.08448601857800264,0.07304297868544826,0.10500925716086694,0.08360993379764226,0.09174544413459496,0.09446817256011301,0.10802337850783283,0.11088660440110755,0.09439270968508326,0.09531875698938067,0.10108312240014522,0.08426365426377055,0.08072220917163607,0.0810797899221771,0.08449298088768785,0.10053023764306553,0.09794040086713951,0.09472644726183786,0.10729662922456286,0.11035938992711,0.12204919564592248,0.13002061418004268,0.11740012363396449,0.12652560497840926,0.12110893832365688,0.12337164172263178,0.11575488425420903,0.12473184354203232,0.1126721530707275,0.11729274438593079,0.12394569880736486,0.12346510840176067,0.12159083984715124,0.12456780034955256,0.12627207707082377,0.12629193828058702,0.11896485589548747,0.11874177536149194,0.11925292241185721,0.11735707480935989,0.12172413821697775,0.12938762902496495,0.11374410019586606,0.12283212324668297,0.12590189486926806,0.12222060786832198
disparate_impact,1.1173323215746571,0.7608218197663689,0.593430447064455,0.9255616025407171,0.8907719694074615,0.947688680004757,0.8854597690836782,0.9788195985999304,0.950648721633234,0.9536517268930035,0.9807538351797611,1.0180900024287665,1.019321951116505,1.0052528556680858,1.0350135857632194,1.0254476405933597,1.0063955348554234,0.9642647619862496,0.9606401455894606,0.9803199739751648,1.0264110811754317,1.01574105185114,1.0170213408255928,1.0740557755921143,1.0629077451187658,1.0764299045048216,1.114379854121389,1.070399464389004,1.1049901137715499,1.0896297190253212,1.0953430208719197,1.0768068089640044,1.0893359728786272,1.0562192992601134,1.0809129001495184,1.092913794226511,1.0972156805952116,1.092913794226511,1.0990918537534393,1.1054719718254935,1.1003281006657386,1.080981573719541,1.0771919656238282,1.1045566399538054,1.0947622235882934,1.119398200881645,1.1388883769957796,1.0951091847899468,1.122092853061534,1.1230814462979415,1.1173323215746571
theil_index,0.08060582492416712,0.08468112419009205,0.09444280581695723,0.08375942705252234,0.08907955634301039,0.08474503151769153,0.08717597098489575,0.08328953296726344,0.08500862261463456,0.08158753776975643,0.08304177399870169,0.08100166045708364,0.08250158432847207,0.08114187674141486,0.08163028542278157,0.08090546146286269,0.08208061576888487,0.08147452584677169,0.0820345292734925,0.08057089115119997,0.08117954847516744,0.08059480167572827,0.08099014175196684,0.08050725677248746,0.08107048213114368,0.07986027395861688,0.08082211630760577,0.08004307398506115,0.08006101139192412,0.08014929828978538,0.08092205441000998,0.08054162384662632,0.08179087287894425,0.08069012034901941,0.08100224946431486,0.08109363763580331,0.08086853497541953,0.08029429162856777,0.08115808451651498,0.07967422331796044,0.08019487866811079,0.07995557663629803,0.08030914625475108,0.08004307398506115,0.08012672752486222,0.08005078842835844,0.08040395549049424,0.0801039932705098,0.08045013483779674,0.07994424482366244,0.08060582492416712
