,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
accuracy,0.8264919643771113,0.7803255195004607,0.8158460436073293,0.8025386426451019,0.8201453577643566,0.8154365851161839,0.8230115672023749,0.8159484082301157,0.8221926502200839,0.8205548162555021,0.8264919643771113
f1,0.588292445955793,0.5499161073825503,0.5333333333333333,0.5757642401583462,0.5579874213836478,0.5918043921213494,0.573612823674476,0.5891224862888483,0.5762381068553306,0.5959898594146116,0.588292445955793
statistical_parity_difference,-0.1892380623975029,-0.19878486033594414,-0.1462698277435437,-0.20128843646883607,-0.16929268724941354,-0.20807558658676967,-0.18249016999913745,-0.20777667113789444,-0.18463226369259245,-0.20855248294695622,-0.1892380623975029
equal_opportunity_difference,-0.19799606534737746,-0.18223810898571086,-0.1513159657012581,-0.20551714490652973,-0.18153124060609122,-0.21145186300741992,-0.18779930295337044,-0.22323796314760308,-0.19335752063311595,-0.22524398120176553,-0.19799606534737746
average_abs_odds_difference,0.14394524169758754,0.14705029823315896,0.10651266915190073,0.15478945406503075,0.12959854931197234,0.1594029829302097,0.1378633605011529,0.16472798154308377,0.14097801372272406,0.1651476181443437,0.14394524169758754
disparate_impact,-1.4689284143546397,-0.9936886812678466,-1.2537691986504038,-1.1552186812011915,-1.4008268879663675,-1.3309445586645956,-1.4664987231906028,-1.3706174821110766,-1.4335942075263841,-1.4206652301860316,-1.4689284143546397
theil_index,0.14382328311904496,0.14728044911106267,0.16294485936682584,0.14208508676581075,0.154583127331221,0.13878885752040118,0.14903403999781362,0.14023099913245848,0.14775262064761926,0.1385560898655992,0.14382328311904496
