,classifier,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,T33,T34,T35,T36,T37,T38,T39,T40,T41,T42,T43,T44,T45,T46,T47,T48,T49
accuracy,0.8247517657897431,0.7747978298699969,0.7905619817790971,0.7978298699969291,0.8053024874603337,0.8041764766096837,0.8092947077490019,0.8098065308629337,0.8152318558706111,0.8131845634148838,0.8164602313440475,0.8151294912478247,0.8161531374756884,0.8165625959668339,0.8185075237997748,0.8175862421946976,0.8195311700276384,0.8179957006858429,0.8189169822909202,0.8185075237997748,0.8199406285187839,0.8187122530453476,0.8191217115364929,0.8177909714402702,0.8189169822909202,0.8185075237997748,0.8205548162555021,0.8201453577643566,0.8216808271061521,0.8201453577643566,0.8200429931415703,0.8208619101238612,0.8216808271061521,0.8194288054048521,0.8211690039922203,0.8219879209745112,0.8215784624833657,0.8220902855972976,0.8216808271061521,0.8221926502200839,0.8217831917289384,0.8219879209745112,0.8229092025795884,0.8232162964479476,0.8235233903163067,0.8243423072985976,0.8237281195618794,0.8249564950353158,0.8240352134302386,0.8240352134302386,0.8247517657897431
f1,0.6163155535634246,0.5462046204620463,0.4632738719832109,0.5771783344037679,0.5322183964584357,0.5834966252993686,0.5552637861064693,0.5918277680140599,0.5729832032174118,0.5970412894678737,0.5817588056916259,0.6013245033112583,0.5838739573679331,0.6038903625110521,0.5902472844927201,0.6052281789986708,0.5949919595681139,0.603125,0.5934267984371409,0.6046822742474915,0.5970217640320733,0.6051282051282052,0.5964832153459695,0.6016114592658908,0.595472215870112,0.6037988826815642,0.6002280501710378,0.6075496984587894,0.6028271773825811,0.6068471693891251,0.5980795610425239,0.6088511399195351,0.6030082041932544,0.6062500000000001,0.6032250738133091,0.6120901182244033,0.6055668703326545,0.6132621272808189,0.6058823529411764,0.6151118989585642,0.6079711776626886,0.6132977540582611,0.6098331078033379,0.614938684503902,0.6110108303249098,0.6183274021352313,0.61198738170347,0.6193232413178985,0.6132733408323959,0.6180848700288823,0.6163155535634246
statistical_parity_difference,-0.19229957946414983,-0.20505213883391687,-0.140287715025118,-0.2022733673314051,-0.16036497183741819,-0.20759443027858124,-0.17118887007154818,-0.1980998820216167,-0.16860847351195007,-0.1950633182371746,-0.174024442456995,-0.1952155484091947,-0.1793685777896179,-0.19894946909727507,-0.17918418899375857,-0.19463878634495357,-0.17942433209012026,-0.1941102622164713,-0.17958460191810016,-0.1902241113563708,-0.1817158243263815,-0.19301249238849139,-0.18617069759476323,-0.19460715101233061,-0.18665150707870304,-0.19706695273253158,-0.18801353897092402,-0.1955124923884914,-0.18863049931496423,-0.1952241113563708,-0.18773319759476326,-0.19598526221647128,-0.187076038970924,-0.19643391307657176,-0.19028895189526565,-0.19503168290455167,-0.1913304441315269,-0.19577675445273252,-0.1891590234434465,-0.19681020703303398,-0.190032206195768,-0.19437452428071245,-0.18850186481960723,-0.1925477622164713,-0.18866213464758713,-0.19189864324859185,-0.18771659499162732,-0.19268391307657176,-0.19064112688384838,-0.195912905312833,-0.19229957946414983
equal_opportunity_difference,-0.1346580376059322,-0.1163819738700565,-0.12965660310734461,-0.11816130384887008,-0.1108646716101695,-0.14076017390536721,-0.10734463276836159,-0.1209861626059322,-0.10759015271892658,-0.1234275688559322,-0.1218551377118644,-0.1216841013418079,-0.11495023393361581,-0.1236372263418079,-0.10999845515536721,-0.11369780632062149,-0.10553495762711862,-0.10968672757768361,-0.09695555261299438,-0.08562301377118642,-0.08956236758474578,-0.09936385504943501,-0.10427977136299438,-0.1128950388418079,-0.1188923463983051,-0.1229392876059322,-0.12241514389124292,-0.1273338188559322,-0.13197111140536721,-0.12869383386299438,-0.1317614539194915,-0.13162352136299438,-0.1291462526483051,-0.1263572563559322,-0.1315876588983051,-0.11331435381355931,-0.1364704713983051,-0.12287032132768361,-0.1303324726341808,-0.12112685381355931,-0.11913786634887008,-0.11341918255649719,-0.11017500882768361,-0.11341918255649719,-0.1177778513418079,-0.11216399629237289,-0.11641783633474578,-0.11927855755649719,-0.13211180261299438,-0.13253111758474578,-0.1346580376059322
average_abs_odds_difference,0.1147448574060774,0.12502254352042041,0.10335853518036607,0.11942802281778929,0.09861389362621867,0.1312879327936665,0.10035374355865495,0.11609236709086337,0.09622147161682633,0.1145026903581742,0.10400428292689612,0.11320816193771334,0.10403903209513152,0.11594157615942803,0.10089957269937153,0.10900707561794307,0.09840746325098515,0.10747675278495784,0.0951977912659672,0.09487233553515441,0.09286750944716446,0.1022047215197276,0.10172903652173163,0.1093867739313225,0.10824157369062025,0.11469517848666208,0.10978178243487727,0.11497315841081074,0.11372051101313224,0.11549706608319545,0.1138368722724063,0.1168513148320895,0.11155983611587489,0.11532413233961791,0.11445904959848922,0.10815869640282084,0.11670518533529267,0.11234453447230308,0.11277734543339826,0.11189559537863963,0.1082859923018024,0.10755387491564435,0.10338176887781045,0.10622673490237294,0.10645452995717138,0.10474030125047855,0.10513687193601995,0.10803088705028836,0.11320504507735615,0.1156525220743662,0.1147448574060774
disparate_impact,-1.2112550225231846,-1.037688800005907,-1.336514210957865,-1.1318992391181169,-1.2713995238685651,-1.2387508400374714,-1.259722740697239,-1.1879307392422453,-1.192692976965463,-1.179712607780377,-1.19139804256717,-1.1802530022815039,-1.2183659633915138,-1.2191805125366308,-1.2060800577479225,-1.1882946253147064,-1.1846060740391173,-1.2124759104165315,-1.1879773736181478,-1.1723995249702566,-1.196193382276115,-1.197932096656334,-1.2272775467591923,-1.2278061519258494,-1.237762048748822,-1.245017925474343,-1.2400212911759552,-1.2283526933570459,-1.2452613628107179,-1.2327952352599967,-1.247728157230483,-1.2355538576990763,-1.2278507555557001,-1.2344213910445685,-1.2456817958629485,-1.2184868706523704,-1.240940542628226,-1.215817844763124,-1.218794165443545,-1.2089521730543116,-1.208329777481938,-1.200232771762495,-1.1999716960448432,-1.1936429620834395,-1.2032607719786406,-1.1784584804379932,-1.1890634697917883,-1.1889590169678113,-1.2105744473357618,-1.2110021349533509,-1.2112550225231846
theil_index,0.13636936890059473,0.1540123644812515,0.1903171243084245,0.14620875942247896,0.16789031446091646,0.14526482824668951,0.15952258341890632,0.1431034755033976,0.15348116857513558,0.14171799320566852,0.14997053636068,0.14028672771649173,0.1489321804195161,0.13952860652844493,0.14673686795783114,0.13923704229236206,0.14486312063128196,0.14043437602269632,0.1453963503568354,0.13984867739099133,0.14404493086183465,0.1397019795749998,0.14403057060114222,0.14110662993201556,0.14443995053641093,0.14028614862447253,0.1427317033559819,0.13902409308311398,0.14187292683800343,0.13937296471272562,0.1435800251387496,0.13864089411877278,0.14178630182744612,0.1394069476978854,0.1415062934660901,0.13744179640762438,0.1405163788661364,0.13689001845675075,0.14039913201863122,0.13598997315386216,0.1394139326324915,0.13683275628089805,0.1389065997938417,0.1364746276231863,0.1385506565501848,0.13519120858494288,0.13814358555041487,0.13492477136903694,0.13761970414275476,0.1351941750465511,0.13636936890059473
